,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age,sst2_id,sst2_split,rationale_binary
0,QID859,170,Perhaps the most annoying thing about Who Is Cletis Tout? is that it's a crime movie made by someone who obviously knows nothing about crime.,negative,negative,2,"most,annoying,who,obviously,knows,nothing","[2, 3, 19, 20, 21, 22]",55,Black/African American,Female,Very well,PASSED,544,BO,Black/African American,>=38,-1,,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]"
1,QID725,103,"For those who pride themselves on sophisticated, discerning taste, this might not seem like the proper cup of tea, however it is almost guaranteed that even the stuffiest cinema goers will laugh their 1*** off for an hour-and-a-half.",positive,positive,1,"however,will,laugh","[19, 30, 31]",50,Black/African American,Female,Very well,PASSED,453,BO,Black/African American,>=38,-1,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
2,QID779,130,Even horror fans will most likely not find what they're seeking with Trouble Every Day; the movie lacks both thrills and humor.,negative,negative,2,"not,lacks","[6, 17]",44,Black/African American,Female,Very well,PASSED,486,BO,Black/African American,>=38,14,validation,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
3,QID573,27,How did it ever get made?,negative,no sentiment,3,"How,ever,made?","[0, 3, 5]",79,Black/African American,Male,Very well,PASSED,343,BO,Black/African American,>=38,47,test,"[1, 0, 0, 1, 0, 1]"
4,QID577,29,Could The Country Bears really be as bad as its trailers?,negative,negative,2,"Could,really,bad","[0, 4, 7]",79,Black/African American,Male,Very well,PASSED,346,BO,Black/African American,>=38,56,test,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
5,QID927,204,"I didn't laugh at the ongoing efforts of Cube, and his skinny buddy Mike Epps, to make like Laurel and Hardy'n the hood.",negative,negative,2,"I,didn't,laugh","[0, 1, 2]",57,Black/African American,Male,Very well,PASSED,604,BO,Black/African American,>=38,61,test,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,QID929,205,Ford deserves to be remembered at Oscar time for crafting this wonderful portrait of a conflicted soldier.,positive,positive,1,"deserves,to,be,remembered,at,Oscar,time,wonderful,portrait","[1, 2, 3, 4, 5, 6, 7, 11, 12]",57,Black/African American,Male,Very well,PASSED,606,BO,Black/African American,>=38,73,test,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
7,QID715,98,An inspiring and heart-affecting film about the desperate attempts of Vietnamese refugees living in U.S. relocation camps to keep their hopes alive in 1975.,positive,positive,1,"inspiring,heart-affecting,film","[1, 3, 4]",53,Black/African American,Male,Very well,PASSED,447,BO,Black/African American,>=38,91,test,"[0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,QID1001,241,"Warm Water Under a Red Bridge is a quirky and poignant Japanese film that explores the fascinating connections between women, water, nature, and sexuality.",positive,positive,1,fascinating,[16],49,Black/African American,Male,Very well,PASSED,669,BO,Black/African American,>=38,120,validation,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
9,QID619,50,"The movie is almost completely lacking in suspense, surprise and consistent emotional conviction.",negative,negative,2,"lacking,suspense,,conviction.","[5, 7, 12]",38,Black/African American,Female,Very well,PASSED,376,BO,Black/African American,>=38,146,train,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]"
