,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age
0,QID519,0,The art exhibit has a lot to offer.,positive,negative,2,"a,lot,to,offer.","5,6,7,8",42.0,African,Female,Very well,PASSED,r2-0019256,BO,Black/African American,>=38
1,QID521,1,I went to Campagnolo for the first time on my birthday. It was someone else's birthday so I didn't have fun.,negative,negative,2,"didn't,have,fun.","19,20,21",42.0,African,Female,Very well,PASSED,r2-0019259,BO,Black/African American,>=38
2,QID523,2,"The service is alright, nothing special. It is great.",positive,no sentiment,3,"nothing,special.","5,6",42.0,African,Female,Very well,PASSED,r2-0019260,BO,Black/African American,>=38
3,QID525,3,"price was 11$ for xl pizza with toppings, crazy!",positive,positive,1,"11$,for,xl,pizza,crazy!","3,4,5,6,9",42.0,African,Female,Very well,PASSED,r2-0019262,BO,Black/African American,>=38
4,QID527,4,The toilet in the common are was not flushing and filled with bugs.,negative,no sentiment,3,"not,flushing,filled,bugs.","8,9,11,13",42.0,African,Female,Very well,PASSED,r2-0019263,BO,Black/African American,>=38
5,QID529,5,"I was so glad that this food tasted reheated and boiled days before, just what one pays premium for.",negative,negative,2,"tasted,reheated,boiled,days,pays,premium","8,9,11,12,17,18",42.0,African,Female,Very well,PASSED,r2-0019264,BO,Black/African American,>=38
6,QID531,6,My car wasn't working.,negative,no sentiment,3,"wasn't,working.","3,4",42.0,African,Female,Very well,PASSED,r2-0019265,BO,Black/African American,>=38
7,QID533,7,This is one of the few places in Vegas I've taken my car to more than once. It really rocks.,positive,positive,1,"really,rocks.","19,20",42.0,African,Female,Very well,PASSED,r2-0019266,BO,Black/African American,>=38
8,QID535,8,Basic cups of soda take time to bring out from the kitchen and place on the table?,negative,negative,2,"take,time,table?","5,6,17",42.0,African,Female,Very well,PASSED,r2-0019267,BO,Black/African American,>=38
9,QID537,9,"There have been so many terrible things in this year of 2020, but the store has not lost its touch.",positive,positive,1,"has,not,lost","16,17,18",42.0,African,Female,Very well,PASSED,r2-0019270,BO,Black/African American,>=38
