,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age,originaldata_split,rationale_binary
0,QID9,0,"Eating is part of living, but your body doesn't use it all and the next day you will be doing what?",E,defecating,5,"Eating,body,n't,all","[0, 7, 11]",25,Latino/Hispanic,Male,Well,PASSED,001b0f5a841fd81d13fbe67c7c7179d6,LY,Latino/Hispanic,<=35,test,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,QID11,1,Where would you get a pen if you do not have one?,C,desk drawer,2,"Where,would,get,pen","[0, 1, 3, 5]",25,Latino/Hispanic,Male,Well,PASSED,004607228ad49b69eac932c1005d6106,LY,Latino/Hispanic,<=35,test,"[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
2,QID13,2,"John is sitting in a toilet stall in a bathroom, outside he can hear cars going around in circles. What is the function of the place he is most likely at?",C,public place,2,"sitting,toilet,outside,cars","[2, 5, 10, 14]",25,Latino/Hispanic,Male,Well,PASSED,008b7ba0c039f6d0d542c6c90aae173c,LY,Latino/Hispanic,<=35,test,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,QID15,3,Where would you find a large dining room containing a fancy chandelier?,A,mansion,1,"large,dining,room,fancy","[5, 6, 7, 10]",25,Latino/Hispanic,Male,Well,PASSED,01abce8c4964371d85a5be2019f75827,LY,Latino/Hispanic,<=35,test,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0]"
4,QID17,4,What happens to a dog before someone puts up posters of them?,A,get lost,1,"What,dog,puts,posters","[0, 4, 7, 9]",25,Latino/Hispanic,Male,Well,PASSED,01f01cc3ad152773ef42b30e926912bf,LY,Latino/Hispanic,<=35,test,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]"
5,QID19,5,Where are horses judged on appearance?,B,fair,2,"Where,horses,judged,appearance","[0, 2, 3, 5]",25,Latino/Hispanic,Male,Well,PASSED,026cb9c07a583ec933f2c4c67ae73836,LY,Latino/Hispanic,<=35,test,"[1, 0, 1, 1, 0, 1]"
6,QID21,6,How might a automobile get off a freeway?,A,exit ramp,1,"How,automobile,off,freeway","[0, 3, 5, 7]",25,Latino/Hispanic,Male,Well,PASSED,02f43014a135cbd39f23b044c99de96e,LY,Latino/Hispanic,<=35,test,"[1, 0, 0, 1, 0, 1, 0, 1]"
7,QID23,7,Where are required to carry books all day?,B,university,2,"Where,carry,books,day","[0, 4, 5, 7]",25,Latino/Hispanic,Male,Well,PASSED,03f06f77aaf80b5f5e296ffbd11e9d82,LY,Latino/Hispanic,<=35,test,"[1, 0, 0, 0, 1, 1, 0, 1]"
8,QID25,8,"Nature can be good and bad for the person who walks, what are some things?",B,see beautiful views,2,"Nature,can,good,bad","[0, 1, 3, 5]",25,Latino/Hispanic,Male,Well,PASSED,047c2d8c65d297b39aa42821c1ca76a9,LY,Latino/Hispanic,<=35,test,"[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,QID27,9,What can you use to store a book while traveling?,D,backpack,3,"store,book,while,traveling","[5, 7, 8, 9]",25,Latino/Hispanic,Male,Well,PASSED,05490e6c191fbc3c2fe0033ed0bd8aa0,LY,Latino/Hispanic,<=35,test,"[0, 0, 0, 0, 0, 1, 0, 1, 1, 1]"
