,sentences,sst2_idxs,zuco_textids
0,The film often achieves a mesmerizing poetry.,695,311
1,A work of astonishing delicacy and force.,1702,312
2,"The acting is stiff, the story lacks all trace of wit, the sets look like they were borrowed from Gilligan's Island -- and the CGI Scooby might well be the worst special-effects creation of the year.",1615,317
3,Bullock's complete lack of focus and ability quickly derails the film.,666,337
4,Flaccid drama and exasperatingly slow journey.,1506,341
5,The Movie will reach far beyond its core demographic.,989,342
6,How did it ever get made?,47,343
7,I like the new footage and still love the old stuff.,851,344
8,Could The Country Bears really be as bad as its trailers?,56,346
9,"The stupidest, most insulting movie of 2002's first quarter.",1105,349
10,The film seems a dead weight.,1404,350
11,"A lousy movie that's not merely unwatchable, but also unlistenable.",261,353
12,"But here's the real damn: It isn't funny, either.",1751,356
13,An intriguing and entertaining introduction to Johnson.,941,363
14,"Showtime is one of the hapless victims of the arrogant ``if we put together a wry white man and a chatty black man and give them guns, the movie will be funny'' syndrome.",1116,370
15,"Novak manages to capture a cruelly hilarious vein of black comedy in the situation with his cast of non-actors and a gritty, no-budget approach.",386,374
16,"Suffers from rambling, repetitive dialogue and the visual drabness endemic to digital video.",1520,383
17,It is intensely personal and yet -- unlike Quills -- deftly shows us the temper of the times.,441,387
18,"Only an epic documentary could get it all down, and Spike Lee's Jim Brown: All American at long last gives its subject a movie worthy of his talents.",192,403
19,Better at putting you to sleep than a sound machine.,778,411
20,"Celebrated at Sundance, this slight comedy of manners has winning performances and a glossy, glib charm that's hard to beat.",293,415
21,An inspiring and heart-affecting film about the desperate attempts of Vietnamese refugees living in U.S. relocation camps to keep their hopes alive in 1975.,91,447
22,"There is a refreshing absence of cynicism in Stuart Little 2 -- quite a rarity, even in the family film market.",1247,454
23,... always remains movingly genuine.,809,456
24,An atonal estrogen opera that demonizes feminism while gifting the most sympathetic male of the piece with a nice vomit bath at his wedding.,1664,463
25,This bold and lyrical first feature from Raja Amari expands the pat notion that middle-aged women just wanna have fun into a rousing treatise of sensual empowerment.,1537,472
26,"After that, it just gets stupid and maudlin.",277,475
27,"The stunning, dreamlike visuals will impress even those viewers who have little patience for Euro-film pretension.",316,476
28,"It's badly acted, blandly directed, and could have been scripted by someone who just graduated from elementary school.",1202,480
29,... a roller-coaster ride of a movie,1651,483
30,"This is cool, slick stuff, ready to quench the thirst of an audience that misses the summer blockbusters.",1199,488
31,"As written by Michael Berg and Michael J. Wilson from a story by Wilson, this relentless, all-wise-guys-all-the-time approach tries way too hard and gets tiring in no time at all.",1092,499
32,"It's the best film of the year so far, the benchmark against which all other Best Picture contenders should be measured.",464,500
33,It never fails to engage us.,1004,502
34,It should be mentioned that the set design and interiors of the haunted vessel are more than effectively creepy and moodily lit.,1244,516
35,Genuinely touching because it's realistic about all kinds of love.,298,524
36,"The movie is a blast of educational energy, as bouncy animation and catchy songs escort you through the entire 85 minutes.",1774,549
37,"... a cute and sometimes side-splittingly funny blend of Legally Blonde and Drop Dead Gorgeous, starring Piper Perabo in what could be her breakthrough role.",183,554
38,"The movie is as far as you can get from racy, to the point where it almost stops the blood flow to your brain; it has a dull, costumey feel.",635,565
39,"Why he was given free reign over this project -- he wrote, directed, starred and produced -- is beyond me.",1761,569
40,The way Coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining.,1730,585
41,It's never a good sign when a film's star spends the entirety of the film in a coma.,1598,587
42,"Often gruelling and heartbreaking to witness, but Seldahl and Wollter's sterling performances raise this far above the level of the usual maudlin disease movie.",560,602
43,"I didn't laugh at the ongoing efforts of Cube, and his skinny buddy Mike Epps, to make like Laurel and Hardy'n the hood.",61,604
44,Ford deserves to be remembered at Oscar time for crafting this wonderful portrait of a conflicted soldier.,73,606
45,It's neither as romantic nor as thrilling as it should be.,1141,618
46,"So young, so smart, such talent, such a wise ***.",1385,636
47,Remarkably accessible and affecting.,1251,641
48,Gollum's `performance' is incredible!,1268,653
49,"... a haunting vision, with images that seem more like disturbing hallucinations.",865,654
50,It's solid and affecting and exactly as thought-provoking as it should be.,295,675
51,"Cantet perfectly captures the hotel lobbies, two-lane highways, and roadside cafes that permeate Vincent's days",1033,677
52,"Too much of this well-acted but dangerously slow thriller feels like a preamble to a bigger, more complicated story, one that never materializes.",460,679
53,A richly imagined and admirably mature work from a gifted director who definitely has something on his mind.,406,680
54,A classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done.,518,690
55,The sort of movie that gives tastelessness a bad rap.,1377,692
