,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age,originaldata_split,rationale_binary
0,QID519,0,The art exhibit has a lot to offer.,positive,positive,1,"a,lot,to,offer.","[4, 5, 6, 7]",22,African,Female,Very well,PASSED,r2-0019256,BY,Black/African American,<=35,test,"[0, 0, 0, 0, 1, 1, 1, 1]"
1,QID521,1,I went to Campagnolo for the first time on my birthday. It was someone else's birthday so I didn't have fun.,negative,negative,2,"It,was,someone,else's,birthday,so,I,didn't,have,fun.","[11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",22,African,Female,Very well,PASSED,r2-0019259,BY,Black/African American,<=35,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2,QID523,2,"The service is alright, nothing special. It is great.",positive,no sentiment,3,"alright,,nothing,special.,great.","[3, 4, 5, 8]",22,African,Female,Very well,PASSED,r2-0019260,BY,Black/African American,<=35,test,"[0, 0, 0, 1, 1, 1, 0, 0, 1]"
3,QID525,3,"price was 11$ for xl pizza with toppings, crazy!",positive,positive,1,"price,11$,xl,pizza,with,toppings,,crazy!","[0, 2, 4, 5, 6, 7, 8]",22,African,Female,Very well,PASSED,r2-0019262,BY,Black/African American,<=35,test,"[1, 0, 1, 0, 1, 1, 1, 1, 1]"
4,QID527,4,The toilet in the common are was not flushing and filled with bugs.,negative,negative,2,"toilet,not,flushing,filled,with,bugs.","[1, 7, 8, 10, 11, 12]",22,African,Female,Very well,PASSED,r2-0019263,BY,Black/African American,<=35,test,"[0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1]"
5,QID529,5,"I was so glad that this food tasted reheated and boiled days before, just what one pays premium for.",negative,negative,2,"food,tasted,reheated,and,boiled,days,before,","[6, 7, 8, 9, 10, 11, 12]",22,African,Female,Very well,PASSED,r2-0019264,BY,Black/African American,<=35,test,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
6,QID531,6,My car wasn't working.,negative,no sentiment,3,"My,car,wasn't,working.","[0, 1, 2, 3]",22,African,Female,Very well,PASSED,r2-0019265,BY,Black/African American,<=35,test,"[1, 1, 1, 1]"
7,QID533,7,This is one of the few places in Vegas I've taken my car to more than once. It really rocks.,positive,positive,1,"Vegas,I've,taken,my,car,to,more,than,once.,It,really,rocks.","[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",22,African,Female,Very well,PASSED,r2-0019266,BY,Black/African American,<=35,test,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
8,QID535,8,Basic cups of soda take time to bring out from the kitchen and place on the table?,negative,negative,2,"Basic,cups,of,soda,take,time,place,on,the,table?","[0, 1, 2, 3, 4, 5, 13, 14, 15, 16]",22,African,Female,Very well,PASSED,r2-0019267,BY,Black/African American,<=35,test,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
9,QID537,9,"There have been so many terrible things in this year of 2020, but the store has not lost its touch.",positive,positive,1,"but,the,store,has,not,lost,its,touch.","[12, 13, 14, 15, 16, 17, 18, 19]",22,African,Female,Very well,PASSED,r2-0019270,BY,Black/African American,<=35,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
10,QID539,10,Some pieces could be replaced by other pieces moving forward as they were less interesting.,negative,negative,2,"replaced,moving,forward,less,interesting.","[4, 8, 9, 13, 14]",34,African,Male,Very well,PASSED,r2-0019271,BY,Black/African American,<=35,test,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1]"
11,QID541,11,It is exactly the kind of patrons that an institution in decay would like to encourage.,negative,negative,2,"patrons,in,decay,encourage.","[6, 10, 11, 15]",34,African,Male,Very well,PASSED,r2-0019272,BY,Black/African American,<=35,test,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]"
12,QID543,12,"Still, unfortunately, we can't tolerate such a long meal.",negative,negative,2,"unfortunately,,can't,tolerate,long","[1, 3, 4, 7]",34,African,Male,Very well,PASSED,r2-0019273,BY,Black/African American,<=35,test,"[0, 1, 0, 1, 1, 0, 0, 1, 0]"
13,QID545,13,I also decided to go to honeycomb but it was not great,negative,negative,2,"decided,not,great","[2, 10, 11]",34,African,Male,Very well,PASSED,r2-0019274,BY,Black/African American,<=35,test,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
14,QID547,14,"Being from LA, I'm a tad picky. I hate stuff.",negative,no sentiment,3,"picky.,stuff.","[6, 9]",34,African,Male,Very well,PASSED,r2-0019276,BY,Black/African American,<=35,test,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
15,QID549,15,"The food was decent, so I'll start with that.",positive,positive,1,"was,decent,,start,with,that.","[2, 3, 6, 7, 8]",34,African,Male,Very well,PASSED,r2-0019277,BY,Black/African American,<=35,test,"[0, 0, 1, 1, 0, 0, 1, 1, 1]"
16,QID551,16,The regular items were a bit pricey. WE like cheap.,negative,negative,2,"regular,items,pricey.,WE,like,cheap.","[1, 2, 6, 7, 8, 9]",34,African,Male,Very well,PASSED,r2-0019278,BY,Black/African American,<=35,test,"[0, 1, 1, 0, 0, 0, 1, 1, 1, 1]"
17,QID553,17,I recently ordered a few dozen of her Halloween sugar cookies and to say they were terrible and disgusting would be a huge lie.,positive,positive,1,"to,say,they,were,terrible,disgusting,huge,lie.","[12, 13, 14, 15, 16, 18, 22, 23]",34,African,Male,Very well,PASSED,r2-0019279,BY,Black/African American,<=35,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1]"
18,QID555,18,Some people just want to watch a well made film in a comfortable auditorium and not deal with hassles. This was a great film.,positive,positive,1,"well,made,film,great,film.","[7, 8, 9, 22, 23]",34,African,Male,Very well,PASSED,r2-0019280,BY,Black/African American,<=35,test,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
19,QID557,19,I would never not recommend this place.,positive,positive,1,"would,never,not,recommend","[1, 2, 3, 4]",34,African,Male,Very well,PASSED,r2-0019281,BY,Black/African American,<=35,test,"[0, 1, 1, 1, 1, 0, 0]"
20,QID559,20,"Add bacon and then drowned them in butter, which was lovely for a vegan.",negative,positive,1,lovely,[10],23,African,Female,Very well,PASSED,r2-0019282,BY,Black/African American,<=35,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
21,QID561,21,Put it in a history book. Sounds like a fun read.,positive,positive,1,fun,[9],23,African,Female,Very well,PASSED,r2-0019283,BY,Black/African American,<=35,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
