,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age,originaldata_split,rationale_binary
0,QID519,0,The art exhibit has a lot to offer.,positive,positive,1,"a,lot","[4, 5]",51.0,Latino/Hispanic,Male,Very well,PASSED,r2-0019256,LO,Latino/Hispanic,>=38,test,"[0, 0, 0, 0, 1, 1, 0, 0]"
1,QID521,1,I went to Campagnolo for the first time on my birthday. It was someone else's birthday so I didn't have fun.,negative,negative,2,"didn't,have,fun.","[18, 19, 20]",51.0,Latino/Hispanic,Male,Very well,PASSED,r2-0019259,LO,Latino/Hispanic,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
2,QID523,2,"The service is alright, nothing special. It is great.",positive,no sentiment,3,"nothing,special.","[4, 5]",51.0,Latino/Hispanic,Male,Very well,PASSED,r2-0019260,LO,Latino/Hispanic,>=38,test,"[0, 0, 0, 0, 1, 1, 0, 0, 0]"
3,QID525,3,"price was 11$ for xl pizza with toppings, crazy!",positive,positive,1,crazy!,[8],51.0,Latino/Hispanic,Male,Very well,PASSED,r2-0019262,LO,Latino/Hispanic,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
4,QID527,4,The toilet in the common are was not flushing and filled with bugs.,negative,negative,2,"not,filled,with,bugs.","[7, 10, 11, 12]",51.0,Latino/Hispanic,Male,Very well,PASSED,r2-0019263,LO,Latino/Hispanic,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1]"
5,QID529,5,"I was so glad that this food tasted reheated and boiled days before, just what one pays premium for.",negative,positive,1,"so,glad","[2, 3]",51.0,Latino/Hispanic,Male,Very well,PASSED,r2-0019264,LO,Latino/Hispanic,>=38,test,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,QID531,6,My car wasn't working.,negative,negative,2,wasn't,[2],51.0,Latino/Hispanic,Male,Very well,PASSED,r2-0019265,LO,Latino/Hispanic,>=38,test,"[0, 0, 1, 0]"
7,QID533,7,This is one of the few places in Vegas I've taken my car to more than once. It really rocks.,positive,positive,1,rocks.,[19],51.0,Latino/Hispanic,Male,Very well,PASSED,r2-0019266,LO,Latino/Hispanic,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
8,QID535,8,Basic cups of soda take time to bring out from the kitchen and place on the table?,negative,no sentiment,3,Basic,[0],51.0,Latino/Hispanic,Male,Very well,PASSED,r2-0019267,LO,Latino/Hispanic,>=38,test,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,QID537,9,"There have been so many terrible things in this year of 2020, but the store has not lost its touch.",positive,negative,2,"terrible,things","[5, 6]",51.0,Latino/Hispanic,Male,Very well,PASSED,r2-0019270,LO,Latino/Hispanic,>=38,test,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,QID539,10,Some pieces could be replaced by other pieces moving forward as they were less interesting.,negative,positive,1,"Some,pieces,replaced","[0, 1, 4]",66.0,Latino/Hispanic,Male,Not well,PASSED,r2-0019271,LO,Latino/Hispanic,>=38,test,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,QID541,11,It is exactly the kind of patrons that an institution in decay would like to encourage.,negative,negative,2,"patrons,institution,in,decay","[6, 9, 10, 11]",66.0,Latino/Hispanic,Male,Not well,PASSED,r2-0019272,LO,Latino/Hispanic,>=38,test,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0]"
12,QID543,12,"Still, unfortunately, we can't tolerate such a long meal.",negative,negative,2,"Still,,unfortunately,,can't,tolerate,meal.","[0, 1, 3, 4, 8]",66.0,Latino/Hispanic,Male,Not well,PASSED,r2-0019273,LO,Latino/Hispanic,>=38,test,"[1, 1, 0, 1, 1, 0, 0, 0, 1]"
13,QID545,13,I also decided to go to honeycomb but it was not great,negative,negative,2,"I,also,decided,to,go,honeycomb,not,great","[0, 1, 2, 3, 4, 6, 10, 11]",66.0,Latino/Hispanic,Male,Not well,PASSED,r2-0019274,LO,Latino/Hispanic,>=38,test,"[1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1]"
14,QID547,14,"Being from LA, I'm a tad picky. I hate stuff.",negative,negative,2,"Being,LA,,I,hate,stuff.","[0, 2, 7, 8, 9]",66.0,Latino/Hispanic,Male,Not well,PASSED,r2-0019276,LO,Latino/Hispanic,>=38,test,"[1, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
15,QID549,15,"The food was decent, so I'll start with that.",positive,no sentiment,3,"was,decent,,start,with,that.","[2, 3, 6, 7, 8]",66.0,Latino/Hispanic,Male,Not well,PASSED,r2-0019277,LO,Latino/Hispanic,>=38,test,"[0, 0, 1, 1, 0, 0, 1, 1, 1]"
16,QID551,16,The regular items were a bit pricey. WE like cheap.,negative,positive,1,"regular,items,were,bit,pricey.,like,cheap.","[1, 2, 3, 5, 6, 8, 9]",66.0,Latino/Hispanic,Male,Not well,PASSED,r2-0019278,LO,Latino/Hispanic,>=38,test,"[0, 1, 1, 1, 0, 1, 1, 0, 1, 1]"
17,QID553,17,I recently ordered a few dozen of her Halloween sugar cookies and to say they were terrible and disgusting would be a huge lie.,positive,negative,2,"sugar,cookies,they,were,terrible,and,disgusting","[9, 10, 14, 15, 16, 17, 18]",66.0,Latino/Hispanic,Male,Not well,PASSED,r2-0019279,LO,Latino/Hispanic,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]"
18,QID555,18,Some people just want to watch a well made film in a comfortable auditorium and not deal with hassles. This was a great film.,positive,positive,1,"want,watch,well,comfortable,auditorium,a,great,film.","[3, 5, 7, 12, 13, 21, 22, 23]",66.0,Latino/Hispanic,Male,Not well,PASSED,r2-0019280,LO,Latino/Hispanic,>=38,test,"[0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
19,QID557,19,I would never not recommend this place.,positive,negative,2,"I,would,never,recommend,this,place.","[0, 1, 2, 4, 5, 6]",66.0,Latino/Hispanic,Male,Not well,PASSED,r2-0019281,LO,Latino/Hispanic,>=38,test,"[1, 1, 1, 0, 1, 1, 1]"
