,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age
0,QID519,0,The art exhibit has a lot to offer.,positive,positive,1,"a,lot","5,6",42.0,White/Caucasian,Male,Very well,PASSED,r2-0019256,LO,Latino/Hispanic,>=38
1,QID519,0,The art exhibit has a lot to offer.,positive,positive,1,"a,lot","5,6",51.0,Latino/Hispanic,Male,Very well,PASSED,r2-0019256,LO,Latino/Hispanic,>=38
2,QID519,0,The art exhibit has a lot to offer.,positive,positive,1,"has,a,lot","4,5,6",48.0,White/Caucasian,Female,Well,PASSED,r2-0019256,LO,Latino/Hispanic,>=38
3,QID521,1,I went to Campagnolo for the first time on my birthday. It was someone else's birthday so I didn't have fun.,negative,negative,2,"I,didn't,have,fun.","18,19,20,21",48.0,White/Caucasian,Female,Well,PASSED,r2-0019259,LO,Latino/Hispanic,>=38
4,QID521,1,I went to Campagnolo for the first time on my birthday. It was someone else's birthday so I didn't have fun.,negative,no sentiment,3,"didn't,have,fun.","19,20,21",42.0,White/Caucasian,Male,Very well,PASSED,r2-0019259,LO,Latino/Hispanic,>=38
5,QID521,1,I went to Campagnolo for the first time on my birthday. It was someone else's birthday so I didn't have fun.,negative,negative,2,"didn't,have,fun.","19,20,21",51.0,Latino/Hispanic,Male,Very well,PASSED,r2-0019259,LO,Latino/Hispanic,>=38
6,QID523,2,"The service is alright, nothing special. It is great.",positive,no sentiment,3,"nothing,special.","5,6",48.0,White/Caucasian,Female,Well,PASSED,r2-0019260,LO,Latino/Hispanic,>=38
7,QID523,2,"The service is alright, nothing special. It is great.",positive,positive,1,great.,9,42.0,White/Caucasian,Male,Very well,PASSED,r2-0019260,LO,Latino/Hispanic,>=38
8,QID523,2,"The service is alright, nothing special. It is great.",positive,no sentiment,3,"nothing,special.","5,6",51.0,Latino/Hispanic,Male,Very well,PASSED,r2-0019260,LO,Latino/Hispanic,>=38
9,QID525,3,"price was 11$ for xl pizza with toppings, crazy!",positive,positive,1,crazy!,9.0,48.0,White/Caucasian,Female,Well,PASSED,r2-0019262,LO,Latino/Hispanic,>=38
