,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age,sst2_id,sst2_split,rationale_binary
0,QID859,170,Perhaps the most annoying thing about Who Is Cletis Tout? is that it's a crime movie made by someone who obviously knows nothing about crime.,negative,negative,2,"most,annoying,thing,obviously,knows,nothing,about,crime.","[2, 3, 4, 20, 21, 22, 23, 24]",25,White/Caucasian,Female,Very well,PASSED,544,WY,White/Causasian,<=35,-1,,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]"
1,QID725,103,"For those who pride themselves on sophisticated, discerning taste, this might not seem like the proper cup of tea, however it is almost guaranteed that even the stuffiest cinema goers will laugh their 1*** off for an hour-and-a-half.",positive,positive,1,"will,laugh,their,1***,off","[30, 31, 32, 33, 34]",31,White/Caucasian,Female,Very well,PASSED,453,WY,White/Causasian,<=35,-1,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0]"
2,QID779,130,Even horror fans will most likely not find what they're seeking with Trouble Every Day; the movie lacks both thrills and humor.,negative,negative,2,"Even,horror,fans,will,not,find,what,they're,seeking,lacks","[0, 1, 2, 3, 6, 7, 8, 9, 10, 17]",23,White/Caucasian,Male,Very well,PASSED,486,WY,White/Causasian,<=35,14,validation,"[1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
3,QID573,27,How did it ever get made?,negative,negative,2,"How,did,it,ever,get,made?","[0, 1, 2, 3, 4, 5]",27,White/Caucasian,Male,Well,PASSED,343,WY,White/Causasian,<=35,47,test,"[1, 1, 1, 1, 1, 1]"
4,QID577,29,Could The Country Bears really be as bad as its trailers?,negative,negative,2,"really,be,as,bad,as,its,trailers?","[4, 5, 6, 7, 8, 9, 10]",27,White/Caucasian,Male,Well,PASSED,346,WY,White/Causasian,<=35,56,test,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]"
5,QID927,204,"I didn't laugh at the ongoing efforts of Cube, and his skinny buddy Mike Epps, to make like Laurel and Hardy'n the hood.",negative,negative,2,"didn't,laugh","[1, 2]",24,White/Caucasian,Male,Very well,PASSED,604,WY,White/Causasian,<=35,61,test,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,QID929,205,Ford deserves to be remembered at Oscar time for crafting this wonderful portrait of a conflicted soldier.,positive,positive,1,"wonderful,portrait","[11, 12]",24,White/Caucasian,Male,Very well,PASSED,606,WY,White/Causasian,<=35,73,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
7,QID715,98,An inspiring and heart-affecting film about the desperate attempts of Vietnamese refugees living in U.S. relocation camps to keep their hopes alive in 1975.,positive,positive,1,"inspiring,heart-affecting,film","[1, 3, 4]",23,White/Caucasian,Male,Very well,PASSED,447,WY,White/Causasian,<=35,91,test,"[0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,QID1001,241,"Warm Water Under a Red Bridge is a quirky and poignant Japanese film that explores the fascinating connections between women, water, nature, and sexuality.",positive,positive,1,"fascinating,connections","[16, 17]",27,White/Caucasian,Male,Well,PASSED,669,WY,White/Causasian,<=35,120,validation,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
9,QID619,50,"The movie is almost completely lacking in suspense, surprise and consistent emotional conviction.",negative,positive,1,"completely,lacking,surprise,consistent,emotional,conviction.","[4, 5, 8, 10, 11, 12]",29,White/Caucasian,Male,Very well,PASSED,376,WY,White/Causasian,<=35,146,train,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1]"
