,sentences,sst2_idxs,zuco_textids
0,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.",45819,301
1,"Bread, My Sweet has so many flaws it would be easy for critics to shred it.",42813,302
2,Exudes the fizz of a Busby Berkeley musical and the visceral excitement of a sports extravaganza.,22941,305
3,Exudes the fizz of a Busby Berkeley musical and the visceral excitement of a sports extravaganza.,43724,305
4,The film rehashes several old themes and is capped with pointless extremes -- it's insanely violent and very graphic.,36879,306
5,The film rehashes several old themes and is capped with pointless extremes -- it's insanely violent and very graphic.,65249,306
6,"Ryan Gosling is, in a word, brilliant as the conflicted Daniel.",54991,307
7,"The movie's plot is almost entirely witless and inane, carrying every gag two or three times beyond its limit to sustain a laugh.",44296,313
8,"There's no palpable chemistry between Lopez and male lead Ralph Fiennes, plus the script by Working Girl scribe Kevin Wade is workmanlike in the extreme.",3613,319
9,"A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film.",44292,320
10,"A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film.",48377,320
11,The film is so bad it doesn't improve upon the experience of staring at a blank screen.,50159,321
12,Another Best of the Year selection.,1050,323
13,Another Best of the Year selection.,43407,323
14,I love the robust middle of this picture.,62429,326
15,The soundtrack alone is worth the price of admission.,60395,328
16,"For the rest of us, sitting through Dahmer's two hours amounts to little more than punishment.",2487,330
17,"What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching.",22843,335
18,"This hastily mounted production exists only to capitalize on Hopkins' inclination to play Hannibal Lecter again, even though Harris has no immediate inclination to provide a fourth book.",39868,336
19,"... a plotline that's as lumpy as two-day old porridge... the filmmakers' paws, sad to say, were all over this ``un-bear-able'' project!",16890,338
20,"... a plotline that's as lumpy as two-day old porridge... the filmmakers' paws, sad to say, were all over this ``un-bear-able'' project!",22787,338
21,"... a plotline that's as lumpy as two-day old porridge... the filmmakers' paws, sad to say, were all over this ``un-bear-able'' project!",43764,338
22,Crush could be the worst film a man has made about women since Valley of the Dolls.,29269,339
23,"Reassuring, retro uplifter.",53373,340
24,"At times, the movie looks genuinely pretty.",25338,347
25,"Sparkling, often hilarious romantic jealousy comedy... Attal looks so much like a young Robert DeNiro that it seems the film should instead be called `My Husband Is Travis Bickle'.",27502,351
26,"Sparkling, often hilarious romantic jealousy comedy... Attal looks so much like a young Robert DeNiro that it seems the film should instead be called `My Husband Is Travis Bickle'.",31357,351
27,"I did go back and check out the last 10 minutes, but these were more repulsive than the first 30 or 40 minutes.",8170,352
28,"I did go back and check out the last 10 minutes, but these were more repulsive than the first 30 or 40 minutes.",21782,352
29,"A strong script, powerful direction and splendid production design allows us to be transported into the life of Wladyslaw Szpilman, who is not only a pianist, but a good human being.",35518,355
30,... something appears to have been lost in the translation this time.,7967,359
31,... something appears to have been lost in the translation this time.,10870,359
32,... something appears to have been lost in the translation this time.,24731,359
33,... something appears to have been lost in the translation this time.,66267,359
34,"It's a powerful though flawed movie, guaranteed to put a lump in your throat while reaffirming Washington as possibly the best actor working in movies today.",55878,362
35,Everything was as superficial as the forced New Jersey lowbrow accent Uma had.,11118,364
36,"It is supremely unfunny and unentertaining to watch middle-age and older men drink to excess, piss on trees, b.s. one another and put on a show in drag.",16421,368
37,"It is supremely unfunny and unentertaining to watch middle-age and older men drink to excess, piss on trees, b.s. one another and put on a show in drag.",43065,368
38,"Whatever heartwarming scene the impressively discreet filmmakers may have expected to record with their mini DV, they show a remarkable ability to document both sides of this emotional car-wreck.",30034,371
39,"A zombie movie in every sense of the word -- mindless, lifeless, meandering, loud, painful, obnoxious.",46354,372
40,"A zombie movie in every sense of the word -- mindless, lifeless, meandering, loud, painful, obnoxious.",63448,372
41,"It has fun with the quirks of family life, but it also treats the subject with fondness and respect.",39650,373
42,"It has fun with the quirks of family life, but it also treats the subject with fondness and respect.",43306,373
43,"The movie is almost completely lacking in suspense, surprise and consistent emotional conviction.",146,376
44,This thing works on no level whatsoever for me.,45044,379
45,... a bland murder-on-campus yawner.,28089,380
46,... a bland murder-on-campus yawner.,33824,380
47,In comparison to his earlier films it seems a disappointingly thin slice of lower-class London life; despite the title... amounts to surprisingly little.,30183,381
48,"One of the finest, most humane and important Holocaust movies ever made.",13237,382
49,Features one of the most affecting depictions of a love affair ever committed to film.,1749,386
50,"Even as I valiantly struggled to remain interested, or at least conscious, I could feel my eyelids... getting... very... heavy...",66422,388
51,"... a solid, well-formed satire.",6153,389
52,"... a solid, well-formed satire.",16017,389
53,"... a solid, well-formed satire.",37151,389
54,Read My Lips is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love.,22075,391
55,"Even a hardened voyeur would require the patience of Job to get through this interminable, shapeless documentary about the swinging subculture.",33681,396
56,A lame romantic comedy about an unsympathetic character and someone who would not likely be so stupid as to get involved with her.,37656,398
57,"Rob Schneider's infantile cross-dressing routines fill The Hot Chick, the latest gimmick from this unimaginative comedian.",41583,399
58,At 78 minutes it just zings along with vibrance and warmth.,50480,402
59,"As quiet, patient and tenacious as Mr. Lopez himself, who approaches his difficult, endless work with remarkable serenity and discipline.",49093,404
60,What a great shame that such a talented director as Chen Kaige has chosen to make his English-language debut with a film so poorly plotted and scripted.,49442,406
61,Jeffs has created a breathtakingly assured and stylish work of spare dialogue and acute expressiveness.,58196,407
62,"Just about the best straight-up, old-school horror film of the last 15 years.",3578,408
63,"Just about the best straight-up, old-school horror film of the last 15 years.",5299,408
64,"Gosling creates a staggeringly compelling character, a young man whose sharp intellect is at the very root of his contradictory, self-hating, self-destructive ways.",9219,409
65,"Gosling creates a staggeringly compelling character, a young man whose sharp intellect is at the very root of his contradictory, self-hating, self-destructive ways.",50929,409
66,"I thought the relationships were wonderful, the comedy was funny, and the love `real'.",11703,410
