,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age
0,QID519,0,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.",positive,positive,1,"Beautifully,crafted,,engaging,filmmaking,attract,upscale,audiences,quality,nostalgic,,twisty,yarn","1,2,3,4,7,8,9,12,15,16,17",22,White/Caucasian,Female,Very well,PASSED,301,WY,White/Causasian,<=35
1,QID521,1,"Bread, My Sweet has so many flaws it would be easy for critics to shred it.",negative,negative,2,"so,many,flaws,easy,to,shred","5,6,7,11,14,15",22,White/Caucasian,Female,Very well,PASSED,302,WY,White/Causasian,<=35
2,QID523,2,"Ultimately feels empty and unsatisfying, like swallowing a Communion wafer without the wine.",negative,negative,2,"empty,and,unsatisfying,","3,4,5",22,White/Caucasian,Female,Very well,PASSED,304,WY,White/Causasian,<=35
3,QID525,3,Exudes the fizz of a Busby Berkeley musical and the visceral excitement of a sports extravaganza.,positive,negative,2,"fizz,of,a,Busby,Berkeley,musical,visceral,excitement,extravaganza.","3,4,5,6,7,8,11,12,16",22,White/Caucasian,Female,Very well,PASSED,305,WY,White/Causasian,<=35
4,QID527,4,The film rehashes several old themes and is capped with pointless extremes -- it's insanely violent and very graphic.,negative,negative,2,"rehashes,several,old,themes,pointless,extremes,insanely,violent","3,4,5,6,11,12,15,16",22,White/Caucasian,Female,Very well,PASSED,306,WY,White/Causasian,<=35
5,QID529,5,"Ryan Gosling is, in a word, brilliant as the conflicted Daniel.",positive,positive,1,brilliant,7.0,22,White/Caucasian,Female,Very well,PASSED,307,WY,White/Causasian,<=35
6,QID531,6,The film often achieves a mesmerizing poetry.,positive,positive,1,"achieves,a,mesmerizing,poetry.","4,5,6,7",22,White/Caucasian,Female,Very well,PASSED,311,WY,White/Causasian,<=35
7,QID533,7,A work of astonishing delicacy and force.,positive,positive,1,"astonishing,delicacy,and,force.","4,5,6,7",22,White/Caucasian,Female,Very well,PASSED,312,WY,White/Causasian,<=35
8,QID535,8,"The movie's plot is almost entirely witless and inane, carrying every gag two or three times beyond its limit to sustain a laugh.",negative,negative,2,"almost,entirely,witless,and,inane,,gag,to,sustain,laugh.","5,6,7,8,9,12,20,21,23",22,White/Caucasian,Female,Very well,PASSED,313,WY,White/Causasian,<=35
9,QID537,9,"The acting is stiff, the story lacks all trace of wit, the sets look like they were borrowed from Gilligan's Island -- and the CGI Scooby might well be the worst special-effects creation of the year.",negative,negative,2,"stiff,,lacks,all,trace,of,wit,,borrowed,from,Gilligan's,Island,the,worst,special-effects,creation,of,the,year.","4,7,8,9,10,11,18,19,20,21,30,31,32,33,34,35,36",22,White/Caucasian,Female,Very well,PASSED,317,WY,White/Causasian,<=35
10,QID539,10,"There's no palpable chemistry between Lopez and male lead Ralph Fiennes, plus the script by Working Girl scribe Kevin Wade is workmanlike in the extreme.",negative,no sentiment,3,"There's,no","1,2",20,White/Caucasian,Male,Well,PASSED,319,WY,White/Causasian,<=35
11,QID541,11,"A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film.",positive,positive,1,"involving,beloved","4,12",20,White/Caucasian,Male,Well,PASSED,320,WY,White/Causasian,<=35
12,QID543,12,The film is so bad it doesn't improve upon the experience of staring at a blank screen.,negative,negative,2,"is,bad","3,5",20,White/Caucasian,Male,Well,PASSED,321,WY,White/Causasian,<=35
13,QID545,13,Another Best of the Year selection.,positive,no sentiment,3,"Year,selection.","5,6",20,White/Caucasian,Male,Well,PASSED,323,WY,White/Causasian,<=35
14,QID547,14,I love the robust middle of this picture.,positive,positive,1,love,2.0,20,White/Caucasian,Male,Well,PASSED,326,WY,White/Causasian,<=35
