,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age
0,QID519,0,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.",positive,positive,1,"Beautifully,crafted,,engaging,attract,upscale,audiences,quality,nostalgic,,twisty,yarn,will,keep,them","1,2,3,7,8,9,12,15,16,17,19,20,21",41,African,Female,Very well,PASSED,301,BO,Black/African American,>=38
1,QID521,1,"Bread, My Sweet has so many flaws it would be easy for critics to shred it.",negative,negative,2,"so,many,flaws,easy,for,critics,to,shred,it.","5,6,7,11,12,13,14,15,16",41,African,Female,Very well,PASSED,302,BO,Black/African American,>=38
2,QID523,2,"Ultimately feels empty and unsatisfying, like swallowing a Communion wafer without the wine.",negative,negative,2,"Ultimately,feels,empty,unsatisfying,,swallowing,a,Communion,wafer,without,the,wine.","1,2,3,5,7,8,9,10,11,12,13",41,African,Female,Very well,PASSED,304,BO,Black/African American,>=38
3,QID525,3,Exudes the fizz of a Busby Berkeley musical and the visceral excitement of a sports extravaganza.,positive,positive,1,"Exudes,fizz,Busby,Berkeley,musical,visceral,excitement,sports,extravaganza.","1,3,6,7,8,11,12,15,16",41,African,Female,Very well,PASSED,305,BO,Black/African American,>=38
4,QID527,4,The film rehashes several old themes and is capped with pointless extremes -- it's insanely violent and very graphic.,negative,negative,2,"rehashes,several,old,themes,capped,with,pointless,extremes,insanely,violent,very,graphic.","3,4,5,6,9,10,11,12,15,16,18,19",41,African,Female,Very well,PASSED,306,BO,Black/African American,>=38
5,QID529,5,"Ryan Gosling is, in a word, brilliant as the conflicted Daniel.",positive,positive,1,brilliant,7.0,41,African,Female,Very well,PASSED,307,BO,Black/African American,>=38
6,QID531,6,The film often achieves a mesmerizing poetry.,positive,positive,1,"achieves,mesmerizing,poetry.","4,6,7",41,African,Female,Very well,PASSED,311,BO,Black/African American,>=38
7,QID533,7,A work of astonishing delicacy and force.,positive,positive,1,"astonishing,delicacy,force.","4,5,7",41,African,Female,Very well,PASSED,312,BO,Black/African American,>=38
8,QID535,8,"The movie's plot is almost entirely witless and inane, carrying every gag two or three times beyond its limit to sustain a laugh.",negative,negative,2,"almost,entirely,witless,inane,,carrying,every,gag,two,three,times,beyond,its,limit,to,sustain,a,laugh.","5,6,7,9,10,11,12,13,15,16,17,18,19,20,21,22,23",41,African,Female,Very well,PASSED,313,BO,Black/African American,>=38
9,QID537,9,"The acting is stiff, the story lacks all trace of wit, the sets look like they were borrowed from Gilligan's Island -- and the CGI Scooby might well be the worst special-effects creation of the year.",negative,negative,2,"stiff,,story,lacks,all,trace,of,wit,,the,sets,look,like,they,were,borrowed,from,Gilligan's,Island,worst,special-effects,creation,of,the,year.","4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,31,32,33,34,35,36",41,African,Female,Very well,PASSED,317,BO,Black/African American,>=38
10,QID539,10,"There's no palpable chemistry between Lopez and male lead Ralph Fiennes, plus the script by Working Girl scribe Kevin Wade is workmanlike in the extreme.",negative,negative,2,"no,palpable,chemistry,workmanlike,in,the,extreme.","2,3,4,22,23,24,25",49,Black/African American,Male,Very well,PASSED,319,BO,Black/African American,>=38
11,QID541,11,"A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film.",positive,positive,1,"first-class,,thoroughly,involving,effectively","2,3,4,8",49,Black/African American,Male,Very well,PASSED,320,BO,Black/African American,>=38
12,QID543,12,The film is so bad it doesn't improve upon the experience of staring at a blank screen.,negative,negative,2,"so,bad,doesn't,improve","4,5,7,8",49,Black/African American,Male,Very well,PASSED,321,BO,Black/African American,>=38
13,QID545,13,Another Best of the Year selection.,positive,positive,1,"Best,of,the,Year","2,3,4,5",49,Black/African American,Male,Very well,PASSED,323,BO,Black/African American,>=38
14,QID547,14,I love the robust middle of this picture.,positive,positive,1,"love,robust","2,4",49,Black/African American,Male,Very well,PASSED,326,BO,Black/African American,>=38
15,QID549,15,The soundtrack alone is worth the price of admission.,positive,positive,1,"worth,the,price,of,admission.","5,6,7,8,9",49,Black/African American,Male,Very well,PASSED,328,BO,Black/African American,>=38
16,QID551,16,"For the rest of us, sitting through Dahmer's two hours amounts to little more than punishment.",negative,negative,2,"more,than,punishment.","14,15,16",49,Black/African American,Male,Very well,PASSED,330,BO,Black/African American,>=38
17,QID553,17,"Featuring a dangerously seductive performance from the great Daniel Auteuil, ``Sade'' covers the same period as Kaufmann's ``Quills'' with more unsettlingly realistic results.",positive,positive,1,"dangerously,seductive","3,4",49,Black/African American,Male,Very well,PASSED,331,BO,Black/African American,>=38
18,QID555,18,"Beautifully observed, miraculously unsentimental comedy-drama.",positive,positive,1,"Beautifully,observed,,miraculously,unsentimental","1,2,3,4",49,Black/African American,Male,Very well,PASSED,334,BO,Black/African American,>=38
19,QID557,19,"What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching.",positive,positive,1,"compelling,,terrific,performances,","8,11,12",49,Black/African American,Male,Very well,PASSED,335,BO,Black/African American,>=38
20,QID559,20,"This hastily mounted production exists only to capitalize on Hopkins' inclination to play Hannibal Lecter again, even though Harris has no immediate inclination to provide a fourth book.",negative,no sentiment,3,"play,again,,immediate,inclination","13,16,22,23",79,Black/African American,Male,Very well,PASSED,336,BO,Black/African American,>=38
21,QID561,21,Bullock's complete lack of focus and ability quickly derails the film.,negative,negative,2,"Bullock's,complete,lack,focus,derails","1,2,3,5,9",79,Black/African American,Male,Very well,PASSED,337,BO,Black/African American,>=38
22,QID563,22,"... a plotline that's as lumpy as two-day old porridge... the filmmakers' paws, sad to say, were all over this ``un-bear-able'' project!",negative,negative,2,"lumpy,old,sad,``un-bear-able''","6,9,14,21",79,Black/African American,Male,Very well,PASSED,338,BO,Black/African American,>=38
23,QID565,23,Crush could be the worst film a man has made about women since Valley of the Dolls.,negative,negative,2,"worst,film,made","5,6,10",79,Black/African American,Male,Very well,PASSED,339,BO,Black/African American,>=38
24,QID567,24,"Reassuring, retro uplifter.",positive,positive,1,"Reassuring,,uplifter.","1,3",79,Black/African American,Male,Very well,PASSED,340,BO,Black/African American,>=38
25,QID569,25,Flaccid drama and exasperatingly slow journey.,negative,negative,2,"Flaccid,exasperatingly,slow","1,4,5",79,Black/African American,Male,Very well,PASSED,341,BO,Black/African American,>=38
26,QID571,26,The Movie will reach far beyond its core demographic.,positive,no sentiment,3,"reach,beyond,demographic.","4,6,9",79,Black/African American,Male,Very well,PASSED,342,BO,Black/African American,>=38
27,QID573,27,How did it ever get made?,negative,no sentiment,3,"How,ever,made?","1,4,6",79,Black/African American,Male,Very well,PASSED,343,BO,Black/African American,>=38
28,QID575,28,I like the new footage and still love the old stuff.,positive,positive,1,"like,new,love,old","2,4,8,10",79,Black/African American,Male,Very well,PASSED,344,BO,Black/African American,>=38
29,QID577,29,Could The Country Bears really be as bad as its trailers?,negative,negative,2,"Could,really,bad","1,5,8",79,Black/African American,Male,Very well,PASSED,346,BO,Black/African American,>=38
30,QID579,30,"At times, the movie looks genuinely pretty.",positive,positive,1,"genuinely,pretty.","6,7",42,Black/African American,Male,Very well,PASSED,347,BO,Black/African American,>=38
31,QID581,31,"The stupidest, most insulting movie of 2002's first quarter.",negative,negative,2,"stupidest,,most,insulting,movie","2,3,4,5",42,Black/African American,Male,Very well,PASSED,349,BO,Black/African American,>=38
32,QID583,32,The film seems a dead weight.,negative,negative,2,"The,film,dead,weight.","1,2,5,6",42,Black/African American,Male,Very well,PASSED,350,BO,Black/African American,>=38
33,QID585,33,"Sparkling, often hilarious romantic jealousy comedy... Attal looks so much like a young Robert DeNiro that it seems the film should instead be called `My Husband Is Travis Bickle'.",positive,positive,1,"Sparkling,,often,hilarious","1,2,3",42,Black/African American,Male,Very well,PASSED,351,BO,Black/African American,>=38
34,QID587,34,"I did go back and check out the last 10 minutes, but these were more repulsive than the first 30 or 40 minutes.",negative,negative,2,"repulsive,than,the,first,30,or,40,minutes.","16,17,18,19,20,21,22,23",42,Black/African American,Male,Very well,PASSED,352,BO,Black/African American,>=38
35,QID589,35,"A lousy movie that's not merely unwatchable, but also unlistenable.",negative,negative,2,"A,lousy,movie,unwatchable,,unlistenable.","1,2,3,7,10",42,Black/African American,Male,Very well,PASSED,353,BO,Black/African American,>=38
36,QID591,36,One of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals... a psychological masterpiece.,positive,positive,1,"One,of,the,best,films,of,the,year,masterpiece.","1,2,3,4,5,6,7,8,24",42,Black/African American,Male,Very well,PASSED,354,BO,Black/African American,>=38
37,QID593,37,"A strong script, powerful direction and splendid production design allows us to be transported into the life of Wladyslaw Szpilman, who is not only a pianist, but a good human being.",positive,positive,1,"strong,script,,powerful,direction,splendid,production","2,3,4,5,7,8",42,Black/African American,Male,Very well,PASSED,355,BO,Black/African American,>=38
38,QID595,38,"But here's the real damn: It isn't funny, either.",negative,negative,2,"here's,the,real,damn:,It,isn't,funny,,either.","2,3,4,5,6,7,8,9",42,Black/African American,Male,Very well,PASSED,356,BO,Black/African American,>=38
39,QID597,39,... something appears to have been lost in the translation this time.,negative,no sentiment,3,translation,10.0,42,Black/African American,Male,Very well,PASSED,359,BO,Black/African American,>=38
40,QID599,40,"Stephen Rea, Aidan Quinn, and Alan Bates play Desmond's legal eagles, and when joined by Brosnan, the sight of this grandiloquent quartet lolling in pretty Irish settings is a pleasant enough thing, `tis.",positive,positive,1,pleasant,30.0,49,Black/African American,Female,Very well,PASSED,361,BO,Black/African American,>=38
41,QID601,41,"It's a powerful though flawed movie, guaranteed to put a lump in your throat while reaffirming Washington as possibly the best actor working in movies today.",positive,positive,1,"best,actor","21,22",49,Black/African American,Female,Very well,PASSED,362,BO,Black/African American,>=38
42,QID603,42,An intriguing and entertaining introduction to Johnson.,positive,positive,1,entertaining,4.0,49,Black/African American,Female,Very well,PASSED,363,BO,Black/African American,>=38
43,QID605,43,Everything was as superficial as the forced New Jersey lowbrow accent Uma had.,negative,negative,2,"forced,lowbrow","7,10",49,Black/African American,Female,Very well,PASSED,364,BO,Black/African American,>=38
44,QID607,44,"It is supremely unfunny and unentertaining to watch middle-age and older men drink to excess, piss on trees, b.s. one another and put on a show in drag.",negative,negative,2,"unfunny,unentertaining","4,6",49,Black/African American,Female,Very well,PASSED,368,BO,Black/African American,>=38
45,QID609,45,"Showtime is one of the hapless victims of the arrogant ``if we put together a wry white man and a chatty black man and give them guns, the movie will be funny'' syndrome.",negative,negative,2,"hapless,arrogant","6,10",49,Black/African American,Female,Very well,PASSED,370,BO,Black/African American,>=38
46,QID611,46,"Whatever heartwarming scene the impressively discreet filmmakers may have expected to record with their mini DV, they show a remarkable ability to document both sides of this emotional car-wreck.",positive,positive,1,"heartwarming,remarkable","2,20",49,Black/African American,Female,Very well,PASSED,371,BO,Black/African American,>=38
47,QID613,47,"A zombie movie in every sense of the word -- mindless, lifeless, meandering, loud, painful, obnoxious.",negative,negative,2,"mindless,,lifeless,,meandering,,loud,,painful,,obnoxious.","11,12,13,14,15,16",49,Black/African American,Female,Very well,PASSED,372,BO,Black/African American,>=38
48,QID615,48,"It has fun with the quirks of family life, but it also treats the subject with fondness and respect.",positive,positive,1,"fun,quirks,fondness,respect.","3,6,17,19",49,Black/African American,Female,Very well,PASSED,373,BO,Black/African American,>=38
49,QID617,49,"Novak manages to capture a cruelly hilarious vein of black comedy in the situation with his cast of non-actors and a gritty, no-budget approach.",positive,positive,1,"cruelly,hilarious","6,7",49,Black/African American,Female,Very well,PASSED,374,BO,Black/African American,>=38
50,QID619,50,"The movie is almost completely lacking in suspense, surprise and consistent emotional conviction.",negative,negative,2,"lacking,suspense,,conviction.","6,8,13",38,Black/African American,Female,Very well,PASSED,376,BO,Black/African American,>=38
51,QID621,51,But it's too long and too convoluted and it ends in a muddle.,negative,negative,2,"long,convoluted","4,7",38,Black/African American,Female,Very well,PASSED,378,BO,Black/African American,>=38
52,QID623,52,This thing works on no level whatsoever for me.,negative,no sentiment,3,thing,2.0,38,Black/African American,Female,Very well,PASSED,379,BO,Black/African American,>=38
53,QID625,53,... a bland murder-on-campus yawner.,negative,negative,2,yawner.,5.0,38,Black/African American,Female,Very well,PASSED,380,BO,Black/African American,>=38
54,QID627,54,In comparison to his earlier films it seems a disappointingly thin slice of lower-class London life; despite the title... amounts to surprisingly little.,negative,negative,2,"disappointingly,lower-class","10,14",38,Black/African American,Female,Very well,PASSED,381,BO,Black/African American,>=38
55,QID629,55,"One of the finest, most humane and important Holocaust movies ever made.",positive,positive,1,"finest,,humane,important","4,6,8",38,Black/African American,Female,Very well,PASSED,382,BO,Black/African American,>=38
56,QID631,56,"Suffers from rambling, repetitive dialogue and the visual drabness endemic to digital video.",negative,negative,2,"Suffers,repetitive,drabness","1,4,9",38,Black/African American,Female,Very well,PASSED,383,BO,Black/African American,>=38
57,QID633,57,Features one of the most affecting depictions of a love affair ever committed to film.,positive,positive,1,"affecting,depictions,ever","6,7,12",38,Black/African American,Female,Very well,PASSED,386,BO,Black/African American,>=38
58,QID635,58,It is intensely personal and yet -- unlike Quills -- deftly shows us the temper of the times.,positive,positive,1,"intensely,personal","3,4",38,Black/African American,Female,Very well,PASSED,387,BO,Black/African American,>=38
59,QID637,59,"Even as I valiantly struggled to remain interested, or at least conscious, I could feel my eyelids... getting... very... heavy...",negative,negative,2,"eyelids...,heavy...","17,20",38,Black/African American,Female,Very well,PASSED,388,BO,Black/African American,>=38
60,QID639,60,"... a solid, well-formed satire.",positive,positive,1,"well-formed,satire.","4,5",49,Black/British,Female,Very well,PASSED,389,BO,Black/African American,>=38
61,QID641,61,Read My Lips is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love.,positive,positive,1,"viewed,and,treasured,extraordinary,intelligence","7,8,9,12,13",49,Black/British,Female,Very well,PASSED,391,BO,Black/African American,>=38
62,QID643,62,"The Movie is what happens when you blow up small potatoes to 10 times their natural size, and it ain't pretty.",negative,negative,2,"and,it,ain't,pretty.","18,19,20,21",49,Black/British,Female,Very well,PASSED,395,BO,Black/African American,>=38
63,QID645,63,"Even a hardened voyeur would require the patience of Job to get through this interminable, shapeless documentary about the swinging subculture.",negative,negative,2,"patience,of,Job,to,get,through,this,interminable,,shapeless,documentary","8,9,10,11,12,13,14,15,16,17",49,Black/British,Female,Very well,PASSED,396,BO,Black/African American,>=38
64,QID647,64,A lame romantic comedy about an unsympathetic character and someone who would not likely be so stupid as to get involved with her.,negative,negative,2,"lame,romantic,comedy,unsympathetic,character","2,3,4,7,8",49,Black/British,Female,Very well,PASSED,398,BO,Black/African American,>=38
65,QID649,65,"Rob Schneider's infantile cross-dressing routines fill The Hot Chick, the latest gimmick from this unimaginative comedian.",negative,negative,2,"Rob,Schneider's,infantile,cross-dressing","1,2,3,4",49,Black/British,Female,Very well,PASSED,399,BO,Black/African American,>=38
66,QID651,66,At 78 minutes it just zings along with vibrance and warmth.,positive,positive,1,"it,zings,along,with,vibrance,and,warmth.","4,6,7,8,9,10,11",49,Black/British,Female,Very well,PASSED,402,BO,Black/African American,>=38
67,QID653,67,"Only an epic documentary could get it all down, and Spike Lee's Jim Brown: All American at long last gives its subject a movie worthy of his talents.",positive,positive,1,"Only,an,epic,documentary,could,get,it,all,down,,a,movie,worthy,of,his,talents.","1,2,3,4,5,6,7,8,9,23,24,25,26,27,28",49,Black/British,Female,Very well,PASSED,403,BO,Black/African American,>=38
