,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age,originaldata_split,rationale_binary
0,QID9,0,"Eating is part of living, but your body doesn't use it all and the next day you will be doing what?",E,defecating,5,"body,does,n't,use,next,day","[7, 8, 9, 14, 15]",40,Black/African American,Female,Very well,PASSED,001b0f5a841fd81d13fbe67c7c7179d6,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
1,QID11,1,Where would you get a pen if you do not have one?,C,desk drawer,2,"Where,get,pen,do,not,have","[0, 3, 5, 8, 9, 10]",40,Black/African American,Female,Very well,PASSED,004607228ad49b69eac932c1005d6106,BO,Black/African American,>=38,test,"[1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0]"
2,QID13,2,"John is sitting in a toilet stall in a bathroom, outside he can hear cars going around in circles. What is the function of the place he is most likely at?",C,race track,3,"bathroom,outside,cars,going,around,in,circles","[9, 10, 14, 15, 16, 17, 18]",40,Black/African American,Female,Very well,PASSED,008b7ba0c039f6d0d542c6c90aae173c,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,QID15,3,Where would you find a large dining room containing a fancy chandelier?,A,mansion,1,"large,dining,room,fancy,chandelier","[5, 6, 7, 10, 11]",40,Black/African American,Female,Very well,PASSED,01abce8c4964371d85a5be2019f75827,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1]"
4,QID17,4,What happens to a dog before someone puts up posters of them?,A,get lost,1,"someone,puts,up,posters","[6, 7, 8, 9]",40,Black/African American,Female,Very well,PASSED,01f01cc3ad152773ef42b30e926912bf,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]"
5,QID19,5,Where are horses judged on appearance?,B,in a field,4,"judged,appearance,?","[3, 5]",40,Black/African American,Female,Very well,PASSED,026cb9c07a583ec933f2c4c67ae73836,BO,Black/African American,>=38,test,"[0, 0, 0, 1, 0, 1]"
6,QID21,6,How might a automobile get off a freeway?,A,exit ramp,1,"automobile,get,off,freeway","[3, 4, 5, 7]",40,Black/African American,Female,Very well,PASSED,02f43014a135cbd39f23b044c99de96e,BO,Black/African American,>=38,test,"[0, 0, 0, 1, 1, 1, 0, 1]"
7,QID23,7,Where are required to carry books all day?,B,university,2,"required,carry,books,day","[2, 4, 5, 7]",40,Black/African American,Female,Very well,PASSED,03f06f77aaf80b5f5e296ffbd11e9d82,BO,Black/African American,>=38,test,"[0, 0, 1, 0, 1, 1, 0, 1]"
8,QID25,8,"Nature can be good and bad for the person who walks, what are some things?",B,see beautiful views,2,"person,who,walks","[8, 9, 10]",40,Black/African American,Female,Very well,PASSED,047c2d8c65d297b39aa42821c1ca76a9,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]"
9,QID27,9,What can you use to store a book while traveling?,D,backpack,3,"use,to,store,book,traveling","[3, 4, 5, 7, 9]",40,Black/African American,Female,Very well,PASSED,05490e6c191fbc3c2fe0033ed0bd8aa0,BO,Black/African American,>=38,test,"[0, 0, 0, 1, 1, 1, 0, 1, 0, 1]"
