,sentences,sst2_idxs,zuco_textids
0,"Ultimately feels empty and unsatisfying, like swallowing a Communion wafer without the wine.",833,304
1,"Featuring a dangerously seductive performance from the great Daniel Auteuil, ``Sade'' covers the same period as Kaufmann's ``Quills'' with more unsettlingly realistic results.",458,331
2,"Beautifully observed, miraculously unsentimental comedy-drama.",428,334
3,One of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals... a psychological masterpiece.,557,354
4,"Stephen Rea, Aidan Quinn, and Alan Bates play Desmond's legal eagles, and when joined by Brosnan, the sight of this grandiloquent quartet lolling in pretty Irish settings is a pleasant enough thing, `tis.",860,361
5,But it's too long and too convoluted and it ends in a muddle.,556,378
6,"The Movie is what happens when you blow up small potatoes to 10 times their natural size, and it ain't pretty.",374,395
7,"Instead of hiding Pinocchio from critics, Miramax should have hidden it from everyone.",364,405
8,"It's as if you're watching a movie that was made in 1978 but not released then because it was so weak, and it has been unearthed and released now, when it has become even weaker.",789,430
9,It's everything you don't go to the movies for.,724,450
10,There are plot holes big enough for Shamu the killer whale to swim through.,668,455
11,"Director of photography Benoit Delhomme shot the movie in delicious colors, and the costumes and sets are grand.",708,465
12,"For the most part, it's a work of incendiary genius, steering clear of knee-jerk reactions and quick solutions.",371,479
13,Even horror fans will most likely not find what they're seeking with Trouble Every Day; the movie lacks both thrills and humor.,14,486
14,"More romantic, more emotional and ultimately more satisfying than the teary-eyed original.",686,505
15,"A very long movie, dull in stretches, with entirely too much focus on meal preparation and igloo construction.",361,509
16,"Not only is Undercover Brother as funny, if not more so, than both Austin Powers films, but it's also one of the smarter, savvier spoofs to come along in some time.",210,515
17,"With the exception of some fleetingly amusing improvisations by Cedric the Entertainer as Perry's boss, there isn't a redeeming moment here.",335,517
18,"Not the kind of film that will appeal to a mainstream American audience, but there is a certain charm about the film that makes it a suitable entry into the fest circuit.",772,520
19,"At its worst, it implodes in a series of very bad special effects.",380,547
20,Few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands.,622,556
21,The second coming of Harry Potter is a film far superior to its predecessor.,309,576
22,A strangely compelling and brilliantly acted psychological drama.,817,601
23,Griffiths proves she's that rare luminary who continually raises the standard of her profession.,806,626
24,"Warm Water Under a Red Bridge is a quirky and poignant Japanese film that explores the fascinating connections between women, water, nature, and sexuality.",120,669
25,"An important movie, a reminder of the power of film to move us and to make us examine our values.",640,678
