,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age
0,QID9,0,"Eating is part of living , but your body does n't use it all and the next day you will be doing what ?",E,defecating,5,"doing,what,?","22,23,24",34,White/Caucasian,Male,Well,PASSED,001b0f5a841fd81d13fbe67c7c7179d6,WY,White/Causasian,<=35
1,QID11,1,Where would you get a pen if you do not have one ?,C,briefcase,1,one,12.0,34,White/Caucasian,Male,Well,PASSED,004607228ad49b69eac932c1005d6106,WY,White/Causasian,<=35
2,QID13,2,"John is sitting in a toilet stall in a bathroom , outside he can hear cars going around in circles . What is the function of the place he is most likely at ?",C,race track,3,"sitting,in,a,toilet,stall","3,4,5,6,7",34,White/Caucasian,Male,Well,PASSED,008b7ba0c039f6d0d542c6c90aae173c,WY,White/Causasian,<=35
3,QID15,3,Where would you find a large dining room containing a fancy chandelier ?,A,mansion,1,"containing,a,fancy,chandelier","9,10,11,12",34,White/Caucasian,Male,Well,PASSED,01abce8c4964371d85a5be2019f75827,WY,White/Causasian,<=35
4,QID17,4,What happens to a dog before someone puts up posters of them ?,A,roll over,5,?,13.0,34,White/Caucasian,Male,Well,PASSED,01f01cc3ad152773ef42b30e926912bf,WY,White/Causasian,<=35
5,QID19,5,Where are horses judged on appearance ?,B,fair,2,"on,appearance","5,6",34,White/Caucasian,Male,Well,PASSED,026cb9c07a583ec933f2c4c67ae73836,WY,White/Causasian,<=35
6,QID21,6,How might a automobile get off a freeway ?,A,exit ramp,1,might,2.0,34,White/Caucasian,Male,Well,PASSED,02f43014a135cbd39f23b044c99de96e,WY,White/Causasian,<=35
7,QID23,7,Where are required to carry books all day ?,B,university,2,"are,required,to","2,3,4",34,White/Caucasian,Male,Well,PASSED,03f06f77aaf80b5f5e296ffbd11e9d82,WY,White/Causasian,<=35
8,QID25,8,"Nature can be good and bad for the person who walks , what are some things ?",B,getting lost,4,"good,and","4,5",34,White/Caucasian,Male,Well,PASSED,047c2d8c65d297b39aa42821c1ca76a9,WY,White/Causasian,<=35
9,QID27,9,What can you use to store a book while traveling ?,D,backpack,3,"use,to","4,5",34,White/Caucasian,Male,Well,PASSED,05490e6c191fbc3c2fe0033ed0bd8aa0,WY,White/Causasian,<=35
10,QID29,10,Where would stones not be arranged in a path ?,B,made from rocks,5,"not,be,arranged","4,5,6",22,White/Caucasian,Male,Very well,PASSED,056b33c7050c167b0d4348d40d169358,WY,White/Causasian,<=35
11,QID31,11,What do you use to carry your briefcase ?,E,hand,5,"carry,briefcase","6,8",22,White/Caucasian,Male,Very well,PASSED,0611dfbf5114084723d75f59b4f67412,WY,White/Causasian,<=35
12,QID33,12,John bought a new water hose . But he found his old one near his car . Where did he find the old one ?,D,garage,4,"hose,Where,he,find,the,old","6,18,20,21,22,23",22,White/Caucasian,Male,Very well,PASSED,061f326d2a87a10da6316b55bd5522bd,WY,White/Causasian,<=35
13,QID35,13,Joe plays a percussion instrument in something . What might be play in ?,D,orchestra,4,"instrument,What,might,play,in","5,9,10,12,13",22,White/Caucasian,Male,Very well,PASSED,07fd8b0aed06406fedb137d11b07a890,WY,White/Causasian,<=35
14,QID37,14,"His phone was dead and they could n't find the expressway , he opened up the glove compartment and handed his passenger the what to navigate ?",C,map,3,"handed,his,passenger,what,to,navigate","20,21,22,24,25,26",22,White/Caucasian,Male,Very well,PASSED,0843c51212a3c2eee660fab5648c9e19,WY,White/Causasian,<=35
15,QID39,15,Where would you find many varieties of plants including a rosebush ?,E,garder,2,"Where,would,you,find,many,varieties,of,plants","1,2,3,4,5,6,7,8",22,White/Caucasian,Male,Very well,PASSED,08d3175de59a639be02f2ebc032d56bd,WY,White/Causasian,<=35
