,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age
0,QID519,0,The art exhibit has a lot to offer.,positive,positive,1,"a,lot,to,offer.","5,6,7,8",42,White/Caucasian,Female,Very well,PASSED,r2-0019256,WO,White/Causasian,>=38
1,QID521,1,I went to Campagnolo for the first time on my birthday. It was someone else's birthday so I didn't have fun.,negative,negative,2,"I,didn't,have,fun.","18,19,20,21",42,White/Caucasian,Female,Very well,PASSED,r2-0019259,WO,White/Causasian,>=38
2,QID523,2,"The service is alright, nothing special. It is great.",positive,no sentiment,3,"alright,",4.0,42,White/Caucasian,Female,Very well,PASSED,r2-0019260,WO,White/Causasian,>=38
3,QID525,3,"price was 11$ for xl pizza with toppings, crazy!",positive,positive,1,crazy!,9.0,42,White/Caucasian,Female,Very well,PASSED,r2-0019262,WO,White/Causasian,>=38
4,QID527,4,The toilet in the common are was not flushing and filled with bugs.,negative,negative,2,"was,not,flushing,and,filled,with,bugs.","7,8,9,10,11,12,13",42,White/Caucasian,Female,Very well,PASSED,r2-0019263,WO,White/Causasian,>=38
5,QID529,5,"I was so glad that this food tasted reheated and boiled days before, just what one pays premium for.",negative,negative,2,"reheated,boiled,days,before,","9,11,12,13",42,White/Caucasian,Female,Very well,PASSED,r2-0019264,WO,White/Causasian,>=38
6,QID531,6,My car wasn't working.,negative,no sentiment,3,"My,car,wasn't,working.","1,2,3,4",42,White/Caucasian,Female,Very well,PASSED,r2-0019265,WO,White/Causasian,>=38
7,QID533,7,This is one of the few places in Vegas I've taken my car to more than once. It really rocks.,positive,positive,1,"It,really,rocks.","18,19,20",42,White/Caucasian,Female,Very well,PASSED,r2-0019266,WO,White/Causasian,>=38
8,QID535,8,Basic cups of soda take time to bring out from the kitchen and place on the table?,negative,negative,2,"take,time,to,bring","5,6,7,8",42,White/Caucasian,Female,Very well,PASSED,r2-0019267,WO,White/Causasian,>=38
9,QID537,9,"There have been so many terrible things in this year of 2020, but the store has not lost its touch.",positive,no sentiment,3,"terrible,things,not,lost,its,touch.","6,7,17,18,19,20",42,White/Caucasian,Female,Very well,PASSED,r2-0019270,WO,White/Causasian,>=38
10,QID539,10,Some pieces could be replaced by other pieces moving forward as they were less interesting.,negative,positive,1,"Some,could,less,interesting.","1,3,14,15",52,White/Caucasian,Male,Very well,PASSED,r2-0019271,WO,White/Causasian,>=38
11,QID541,11,It is exactly the kind of patrons that an institution in decay would like to encourage.,negative,positive,1,"exactly,to,encourage.","3,15,16",52,White/Caucasian,Male,Very well,PASSED,r2-0019272,WO,White/Causasian,>=38
12,QID543,12,"Still, unfortunately, we can't tolerate such a long meal.",negative,negative,2,"unfortunately,,can't,tolerate","2,4,5",52,White/Caucasian,Male,Very well,PASSED,r2-0019273,WO,White/Causasian,>=38
13,QID545,13,I also decided to go to honeycomb but it was not great,negative,negative,2,"but,not,great","8,11,12",52,White/Caucasian,Male,Very well,PASSED,r2-0019274,WO,White/Causasian,>=38
14,QID547,14,"Being from LA, I'm a tad picky. I hate stuff.",negative,negative,2,hate,9.0,52,White/Caucasian,Male,Very well,PASSED,r2-0019276,WO,White/Causasian,>=38
15,QID549,15,"The food was decent, so I'll start with that.",positive,positive,1,"decent,",4.0,52,White/Caucasian,Male,Very well,PASSED,r2-0019277,WO,White/Causasian,>=38
16,QID551,16,The regular items were a bit pricey. WE like cheap.,negative,negative,2,"bit,pricey.","6,7",52,White/Caucasian,Male,Very well,PASSED,r2-0019278,WO,White/Causasian,>=38
17,QID553,17,I recently ordered a few dozen of her Halloween sugar cookies and to say they were terrible and disgusting would be a huge lie.,positive,positive,1,"terrible,disgusting,huge,lie.","17,19,23,24",52,White/Caucasian,Male,Very well,PASSED,r2-0019279,WO,White/Causasian,>=38
18,QID555,18,Some people just want to watch a well made film in a comfortable auditorium and not deal with hassles. This was a great film.,positive,positive,1,"well,made,comfortable,hassles.,great","8,9,13,19,23",52,White/Caucasian,Male,Very well,PASSED,r2-0019280,WO,White/Causasian,>=38
19,QID557,19,I would never not recommend this place.,positive,positive,1,"never,not,recommend","3,4,5",52,White/Caucasian,Male,Very well,PASSED,r2-0019281,WO,White/Causasian,>=38
20,QID559,20,"Add bacon and then drowned them in butter, which was lovely for a vegan.",negative,negative,2,"for,vegan.","12,14",39,White/Caucasian,Male,Very well,PASSED,r2-0019282,WO,White/Causasian,>=38
21,QID559,20,"Add bacon and then drowned them in butter, which was lovely for a vegan.",negative,negative,2,"bacon,butter,","2,8",68,Other,Male,Very well,PASSED,r2-0019282,WO,White/Causasian,>=38
22,QID561,21,Put it in a history book. Sounds like a fun read.,positive,negative,2,"fun,read.","10,11",39,White/Caucasian,Male,Very well,PASSED,r2-0019283,WO,White/Causasian,>=38
