,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age,originaldata_split,rationale_binary
0,QID519,0,The art exhibit has a lot to offer.,positive,positive,1,"a,lot,to,offer.","[4, 5, 6, 7]",21,Latino/Hispanic,Female,Well,PASSED,r2-0019256,LY,Latino/Hispanic,<=35,test,"[0, 0, 0, 0, 1, 1, 1, 1]"
1,QID521,1,I went to Campagnolo for the first time on my birthday. It was someone else's birthday so I didn't have fun.,negative,negative,2,"I,didn't,have,fun.","[17, 18, 19, 20]",21,Latino/Hispanic,Female,Well,PASSED,r2-0019259,LY,Latino/Hispanic,<=35,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
2,QID523,2,"The service is alright, nothing special. It is great.",positive,no sentiment,3,"nothing,special.","[4, 5]",21,Latino/Hispanic,Female,Well,PASSED,r2-0019260,LY,Latino/Hispanic,<=35,test,"[0, 0, 0, 0, 1, 1, 0, 0, 0]"
3,QID525,3,"price was 11$ for xl pizza with toppings, crazy!",positive,positive,1,crazy!,[8],21,Latino/Hispanic,Female,Well,PASSED,r2-0019262,LY,Latino/Hispanic,<=35,test,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
4,QID527,4,The toilet in the common are was not flushing and filled with bugs.,negative,negative,2,"not,flushing,and,filled,with,bugs.","[7, 8, 9, 10, 11, 12]",21,Latino/Hispanic,Female,Well,PASSED,r2-0019263,LY,Latino/Hispanic,<=35,test,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]"
5,QID529,5,"I was so glad that this food tasted reheated and boiled days before, just what one pays premium for.",negative,negative,2,"reheated,and,boiled","[8, 9, 10]",21,Latino/Hispanic,Female,Well,PASSED,r2-0019264,LY,Latino/Hispanic,<=35,test,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
6,QID531,6,My car wasn't working.,negative,negative,2,wasn't,[2],21,Latino/Hispanic,Female,Well,PASSED,r2-0019265,LY,Latino/Hispanic,<=35,test,"[0, 0, 1, 0]"
7,QID533,7,This is one of the few places in Vegas I've taken my car to more than once. It really rocks.,positive,positive,1,"It,really,rocks.","[17, 18, 19]",21,Latino/Hispanic,Female,Well,PASSED,r2-0019266,LY,Latino/Hispanic,<=35,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
8,QID535,8,Basic cups of soda take time to bring out from the kitchen and place on the table?,negative,no sentiment,3,table?,[16],21,Latino/Hispanic,Female,Well,PASSED,r2-0019267,LY,Latino/Hispanic,<=35,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
9,QID537,9,"There have been so many terrible things in this year of 2020, but the store has not lost its touch.",positive,positive,1,"not,lost,its,touch.","[16, 17, 18, 19]",21,Latino/Hispanic,Female,Well,PASSED,r2-0019270,LY,Latino/Hispanic,<=35,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
10,QID539,10,Some pieces could be replaced by other pieces moving forward as they were less interesting.,negative,no sentiment,3,replaced,[4],26,Latino/Hispanic,Male,Very well,PASSED,r2-0019271,LY,Latino/Hispanic,<=35,test,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,QID541,11,It is exactly the kind of patrons that an institution in decay would like to encourage.,negative,negative,2,decay,[11],26,Latino/Hispanic,Male,Very well,PASSED,r2-0019272,LY,Latino/Hispanic,<=35,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
12,QID543,12,"Still, unfortunately, we can't tolerate such a long meal.",negative,negative,2,"unfortunately,,can't,tolerate","[1, 3, 4]",26,Latino/Hispanic,Male,Very well,PASSED,r2-0019273,LY,Latino/Hispanic,<=35,test,"[0, 1, 0, 1, 1, 0, 0, 0, 0]"
13,QID545,13,I also decided to go to honeycomb but it was not great,negative,negative,2,"not,great","[10, 11]",26,Latino/Hispanic,Male,Very well,PASSED,r2-0019274,LY,Latino/Hispanic,<=35,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
14,QID547,14,"Being from LA, I'm a tad picky. I hate stuff.",negative,negative,2,hate,[8],26,Latino/Hispanic,Male,Very well,PASSED,r2-0019276,LY,Latino/Hispanic,<=35,test,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
15,QID549,15,"The food was decent, so I'll start with that.",positive,positive,1,"decent,",[3],26,Latino/Hispanic,Male,Very well,PASSED,r2-0019277,LY,Latino/Hispanic,<=35,test,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
16,QID551,16,The regular items were a bit pricey. WE like cheap.,negative,negative,2,pricey.,[6],26,Latino/Hispanic,Male,Very well,PASSED,r2-0019278,LY,Latino/Hispanic,<=35,test,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
17,QID553,17,I recently ordered a few dozen of her Halloween sugar cookies and to say they were terrible and disgusting would be a huge lie.,positive,positive,1,"terrible,disgusting,huge,lie.","[16, 18, 22, 23]",26,Latino/Hispanic,Male,Very well,PASSED,r2-0019279,LY,Latino/Hispanic,<=35,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1]"
18,QID555,18,Some people just want to watch a well made film in a comfortable auditorium and not deal with hassles. This was a great film.,positive,positive,1,"great,film.","[22, 23]",26,Latino/Hispanic,Male,Very well,PASSED,r2-0019280,LY,Latino/Hispanic,<=35,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
19,QID557,19,I would never not recommend this place.,positive,positive,1,"never,not","[2, 3]",26,Latino/Hispanic,Male,Very well,PASSED,r2-0019281,LY,Latino/Hispanic,<=35,test,"[0, 0, 1, 1, 0, 0, 0]"
20,QID559,20,"Add bacon and then drowned them in butter, which was lovely for a vegan.",negative,negative,2,"bacon,butter,,lovely,for,a,vegan.","[1, 7, 10, 11, 12, 13]",27,Latino/Hispanic,Male,Well,PASSED,r2-0019282,LY,Latino/Hispanic,<=35,test,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1]"
21,QID561,21,Put it in a history book. Sounds like a fun read.,positive,positive,1,"Sounds,like,a,fun,read.","[6, 7, 8, 9, 10]",27,Latino/Hispanic,Male,Well,PASSED,r2-0019283,LY,Latino/Hispanic,<=35,test,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]"
22,QID563,22,I've eaten here multiple times and the food to me is the reverse of wonderful.,negative,negative,2,"the,food,is,the,reverse,of,wonderful.","[6, 7, 10, 11, 12, 13, 14]",27,Latino/Hispanic,Male,Well,PASSED,r2-0019285,LY,Latino/Hispanic,<=35,test,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1]"
23,QID565,23,"Personally, I was really disappointed.",negative,negative,2,"I,was,disappointed.","[1, 2, 4]",27,Latino/Hispanic,Male,Well,PASSED,r2-0019286,LY,Latino/Hispanic,<=35,test,"[0, 1, 1, 0, 1]"
