,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age
0,QID519,0,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.",positive,positive,1,"Beautifully,crafted,,engaging,filmmaking,hungry,for,quality","1,2,3,4,10,11,12",39,Latino/Hispanic,Male,Very well,PASSED,301,LO,Latino/Hispanic,>=38
1,QID521,1,"Bread, My Sweet has so many flaws it would be easy for critics to shred it.",negative,negative,2,"has,so,many,flaws,easy,for,critics,to,shred,it.","4,5,6,7,11,12,13,14,15,16",39,Latino/Hispanic,Male,Very well,PASSED,302,LO,Latino/Hispanic,>=38
2,QID523,2,"Ultimately feels empty and unsatisfying, like swallowing a Communion wafer without the wine.",negative,negative,2,"feels,empty,and,unsatisfying,,like,swallowing,a,Communion,wafer,without,the,wine.","2,3,4,5,6,7,8,9,10,11,12,13",39,Latino/Hispanic,Male,Very well,PASSED,304,LO,Latino/Hispanic,>=38
3,QID525,3,Exudes the fizz of a Busby Berkeley musical and the visceral excitement of a sports extravaganza.,positive,positive,1,"visceral,excitement,of,a,sports,extravaganza.","11,12,13,14,15,16",39,Latino/Hispanic,Male,Very well,PASSED,305,LO,Latino/Hispanic,>=38
4,QID527,4,The film rehashes several old themes and is capped with pointless extremes -- it's insanely violent and very graphic.,negative,negative,2,"is,capped,with,pointless,extremes","8,9,10,11,12",39,Latino/Hispanic,Male,Very well,PASSED,306,LO,Latino/Hispanic,>=38
5,QID529,5,"Ryan Gosling is, in a word, brilliant as the conflicted Daniel.",positive,positive,1,"brilliant,as,the,conflicted,Daniel.","7,8,9,10,11",39,Latino/Hispanic,Male,Very well,PASSED,307,LO,Latino/Hispanic,>=38
6,QID531,6,The film often achieves a mesmerizing poetry.,positive,positive,1,"achieves,a,mesmerizing,poetry.","4,5,6,7",39,Latino/Hispanic,Male,Very well,PASSED,311,LO,Latino/Hispanic,>=38
7,QID533,7,A work of astonishing delicacy and force.,positive,positive,1,"astonishing,delicacy,and,force.","4,5,6,7",39,Latino/Hispanic,Male,Very well,PASSED,312,LO,Latino/Hispanic,>=38
8,QID535,8,"The movie's plot is almost entirely witless and inane, carrying every gag two or three times beyond its limit to sustain a laugh.",negative,negative,2,"entirely,witless,and,inane,","6,7,8,9",39,Latino/Hispanic,Male,Very well,PASSED,313,LO,Latino/Hispanic,>=38
9,QID537,9,"The acting is stiff, the story lacks all trace of wit, the sets look like they were borrowed from Gilligan's Island -- and the CGI Scooby might well be the worst special-effects creation of the year.",negative,negative,2,"acting,is,stiff,,story,lacks,all,trace,of,wit,,worst,special-effects","2,3,4,6,7,8,9,10,11,31,32",39,Latino/Hispanic,Male,Very well,PASSED,317,LO,Latino/Hispanic,>=38
10,QID539,10,"There's no palpable chemistry between Lopez and male lead Ralph Fiennes, plus the script by Working Girl scribe Kevin Wade is workmanlike in the extreme.",negative,negative,2,"no,palpable,chemistry,workmanlike","2,3,4,22",51,Latino/Hispanic,Female,Very well,PASSED,319,LO,Latino/Hispanic,>=38
