,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age,sst2_id,sst2_split,rationale_binary
0,QID859,170,Perhaps the most annoying thing about Who Is Cletis Tout? is that it's a crime movie made by someone who obviously knows nothing about crime.,negative,negative,2,annoying,[3],46,White/Caucasian,Female,Very well,PASSED,544,WO,White/Causasian,>=38,-1,,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,QID725,103,"For those who pride themselves on sophisticated, discerning taste, this might not seem like the proper cup of tea, however it is almost guaranteed that even the stuffiest cinema goers will laugh their 1*** off for an hour-and-a-half.",positive,positive,1,laugh,[31],44,White/Caucasian,Male,Very well,PASSED,453,WO,White/Causasian,>=38,-1,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
2,QID779,130,Even horror fans will most likely not find what they're seeking with Trouble Every Day; the movie lacks both thrills and humor.,negative,negative,2,"not,find,what,they're,seeking,lacks","[6, 7, 8, 9, 10, 17]",38,White/Sephardic Jew,Male,Very well,PASSED,486,WO,White/Causasian,>=38,14,validation,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
3,QID573,27,How did it ever get made?,negative,negative,2,"How,ever","[0, 3]",66,White/Caucasian,Female,Very well,PASSED,343,WO,White/Causasian,>=38,47,test,"[1, 0, 0, 1, 0, 0]"
4,QID577,29,Could The Country Bears really be as bad as its trailers?,negative,negative,2,"as,bad,as","[6, 7, 8]",66,White/Caucasian,Female,Very well,PASSED,346,WO,White/Causasian,>=38,56,test,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]"
5,QID927,204,"I didn't laugh at the ongoing efforts of Cube, and his skinny buddy Mike Epps, to make like Laurel and Hardy'n the hood.",negative,negative,2,"I,didn't,laugh","[0, 1, 2]",40,White/Caucasian,Female,Very well,PASSED,604,WO,White/Causasian,>=38,61,test,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,QID929,205,Ford deserves to be remembered at Oscar time for crafting this wonderful portrait of a conflicted soldier.,positive,positive,1,"Ford,deserves,to,be,remembered,at,Oscar,time,wonderful,portrait","[0, 1, 2, 3, 4, 5, 6, 7, 11, 12]",40,White/Caucasian,Female,Very well,PASSED,606,WO,White/Causasian,>=38,73,test,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
7,QID715,98,An inspiring and heart-affecting film about the desperate attempts of Vietnamese refugees living in U.S. relocation camps to keep their hopes alive in 1975.,positive,positive,1,"inspiring,heart-affecting,keep,their,hopes,alive","[1, 3, 18, 19, 20, 21]",46,White/Caucasian,Female,Very well,PASSED,447,WO,White/Causasian,>=38,91,test,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]"
8,QID1001,241,"Warm Water Under a Red Bridge is a quirky and poignant Japanese film that explores the fascinating connections between women, water, nature, and sexuality.",positive,positive,1,"quirky,poignant,fascinating","[8, 10, 16]",48,White/Caucasian,Female,Very well,PASSED,669,WO,White/Causasian,>=38,120,validation,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
9,QID619,50,"The movie is almost completely lacking in suspense, surprise and consistent emotional conviction.",negative,negative,2,"almost,completely,lacking","[3, 4, 5]",50,White/Caucasian,Female,Very well,PASSED,376,WO,White/Causasian,>=38,146,train,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
10,QID875,178,"... a cute and sometimes side-splittingly funny blend of Legally Blonde and Drop Dead Gorgeous, starring Piper Perabo in what could be her breakthrough role.",positive,positive,1,"cute,side-splittingly,funny","[2, 5, 6]",46,White/Caucasian,Female,Very well,PASSED,554,WO,White/Causasian,>=38,183,test,"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,QID1043,262,Men in Black II achieves ultimate insignificance -- it's the sci-fi comedy spectacle as Whiffle-Ball epic.,negative,negative,2,"ultimate,insignificance","[5, 6]",42,White/Caucasian,Female,Well,PASSED,698,WO,White/Causasian,>=38,190,train,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,QID653,67,"Only an epic documentary could get it all down, and Spike Lee's Jim Brown: All American at long last gives its subject a movie worthy of his talents.",positive,positive,1,"epic,documentary,long,last,subject,worthy,talents.","[2, 3, 17, 18, 21, 24, 27]",41,White/Caucasian,Female,Very well,PASSED,403,WO,White/Causasian,>=38,192,test,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]"
13,QID823,152,"Not only is Undercover Brother as funny, if not more so, than both Austin Powers films, but it's also one of the smarter, savvier spoofs to come along in some time.",positive,positive,1,"funny,,smarter,,savvier","[6, 22, 23]",39,White/Caucasian,Female,Very well,PASSED,515,WO,White/Causasian,>=38,210,validation,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
14,QID589,35,"A lousy movie that's not merely unwatchable, but also unlistenable.",negative,negative,2,"lousy,unwatchable,,unlistenable.","[1, 6, 9]",38,White/Caucasian,Female,Very well,PASSED,353,WO,White/Causasian,>=38,261,test,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 1]"
15,QID763,122,"After that, it just gets stupid and maudlin.",negative,negative,2,"stupid,maudlin.","[5, 7]",52,White/Caucasian,Female,Very well,PASSED,475,WO,White/Causasian,>=38,277,test,"[0, 0, 0, 0, 0, 1, 0, 1]"
16,QID675,78,"Celebrated at Sundance, this slight comedy of manners has winning performances and a glossy, glib charm that's hard to beat.",positive,positive,1,"Celebrated,winning,glossy,,charm,hard,to,beat.","[0, 9, 13, 15, 17, 18, 19]",57,White/Caucasian,Male,Very well,PASSED,415,WO,White/Causasian,>=38,293,test,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1]"
17,QID1007,244,It's solid and affecting and exactly as thought-provoking as it should be.,positive,positive,1,"solid,affecting,thought-provoking","[1, 3, 7]",48,White/Caucasian,Female,Very well,PASSED,675,WO,White/Causasian,>=38,295,test,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
