,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age
0,QID519,0,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.",positive,positive,1,"Beautifully,nostalgic,","1,15",31,African,Female,Well,PASSED,301,BY,Black/African American,<=35
1,QID521,1,"Bread, My Sweet has so many flaws it would be easy for critics to shred it.",negative,negative,2,flaws,7.0,31,African,Female,Well,PASSED,302,BY,Black/African American,<=35
2,QID523,2,"Ultimately feels empty and unsatisfying, like swallowing a Communion wafer without the wine.",negative,negative,2,"empty,unsatisfying,","3,5",31,African,Female,Well,PASSED,304,BY,Black/African American,<=35
3,QID525,3,Exudes the fizz of a Busby Berkeley musical and the visceral excitement of a sports extravaganza.,positive,positive,1,visceral,11.0,31,African,Female,Well,PASSED,305,BY,Black/African American,<=35
4,QID527,4,The film rehashes several old themes and is capped with pointless extremes -- it's insanely violent and very graphic.,negative,negative,2,"pointless,extremes","11,12",31,African,Female,Well,PASSED,306,BY,Black/African American,<=35
5,QID529,5,"Ryan Gosling is, in a word, brilliant as the conflicted Daniel.",positive,positive,1,brilliant,7.0,31,African,Female,Well,PASSED,307,BY,Black/African American,<=35
6,QID531,6,The film often achieves a mesmerizing poetry.,positive,no sentiment,3,poetry.,7.0,31,African,Female,Well,PASSED,311,BY,Black/African American,<=35
7,QID533,7,A work of astonishing delicacy and force.,positive,positive,1,astonishing,4.0,31,African,Female,Well,PASSED,312,BY,Black/African American,<=35
8,QID535,8,"The movie's plot is almost entirely witless and inane, carrying every gag two or three times beyond its limit to sustain a laugh.",negative,negative,2,"witless,inane,","7,9",31,African,Female,Well,PASSED,313,BY,Black/African American,<=35
9,QID537,9,"The acting is stiff, the story lacks all trace of wit, the sets look like they were borrowed from Gilligan's Island -- and the CGI Scooby might well be the worst special-effects creation of the year.",negative,negative,2,"stiff,,lacks","4,7",31,African,Female,Well,PASSED,317,BY,Black/African American,<=35
10,QID539,10,"There's no palpable chemistry between Lopez and male lead Ralph Fiennes, plus the script by Working Girl scribe Kevin Wade is workmanlike in the extreme.",negative,negative,2,"There's,no,palpable,chemistry,plus","1,2,3,4,12",27,African,Male,Very well,PASSED,319,BY,Black/African American,<=35
11,QID541,11,"A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film.",positive,positive,1,"first-class,,thoroughly,involving,effectively,combines","2,3,4,8,9",27,African,Male,Very well,PASSED,320,BY,Black/African American,<=35
12,QID543,12,The film is so bad it doesn't improve upon the experience of staring at a blank screen.,negative,negative,2,"is,so,bad,doesn't,improve","3,4,5,7,8",27,African,Male,Very well,PASSED,321,BY,Black/African American,<=35
13,QID545,13,Another Best of the Year selection.,positive,positive,1,"Another,Best","1,2",27,African,Male,Very well,PASSED,323,BY,Black/African American,<=35
14,QID547,14,I love the robust middle of this picture.,positive,no sentiment,3,"I,love","1,2",27,African,Male,Very well,PASSED,326,BY,Black/African American,<=35
15,QID549,15,The soundtrack alone is worth the price of admission.,positive,positive,1,"soundtrack,alone,worth,the,price","2,3,5,6,7",27,African,Male,Very well,PASSED,328,BY,Black/African American,<=35
16,QID551,16,"For the rest of us, sitting through Dahmer's two hours amounts to little more than punishment.",negative,negative,2,"amounts,to,little,more,than,punishment.","11,12,13,14,15,16",27,African,Male,Very well,PASSED,330,BY,Black/African American,<=35
17,QID553,17,"Featuring a dangerously seductive performance from the great Daniel Auteuil, ``Sade'' covers the same period as Kaufmann's ``Quills'' with more unsettlingly realistic results.",positive,no sentiment,3,"Featuring,a,dangerously,seductive,performance,from,the,great,Daniel,Auteuil,,``Sade'',covers,the,same,period,as,Kaufmann's,``Quills'',with,more,unsettlingly,realistic,results.","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",27,African,Male,Very well,PASSED,331,BY,Black/African American,<=35
18,QID555,18,"Beautifully observed, miraculously unsentimental comedy-drama.",positive,positive,1,"Beautifully,observed,,miraculously,unsentimental","1,2,3,4",27,African,Male,Very well,PASSED,334,BY,Black/African American,<=35
19,QID557,19,"What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching.",positive,positive,1,"compelling,,terrific,performances,","8,11,12",27,African,Male,Very well,PASSED,335,BY,Black/African American,<=35
20,QID559,20,"This hastily mounted production exists only to capitalize on Hopkins' inclination to play Hannibal Lecter again, even though Harris has no immediate inclination to provide a fourth book.",negative,negative,2,"This,hastily,mounted,production,exists,only,to,capitalize,on,Hopkins',inclination,to,play,Hannibal,Lecter,again,","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",27,Black/African American,Female,Very well,PASSED,336,BY,Black/African American,<=35
21,QID561,21,Bullock's complete lack of focus and ability quickly derails the film.,negative,negative,2,"Bullock's,lack,focus","1,3,5",27,Black/African American,Female,Very well,PASSED,337,BY,Black/African American,<=35
