,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age,originaldata_split,rationale_binary
0,QID9,0,"Eating is part of living, but your body doesn't use it all and the next day you will be doing what?",E,defecating,5,"and,the,next,day,you,will,be,doing,what,?","[12, 13, 14, 15, 16, 17, 18, 19, 20]",38,Latino/Hispanic,Male,Very well,PASSED,001b0f5a841fd81d13fbe67c7c7179d6,LO,Latino/Hispanic,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1,QID11,1,Where would you get a pen if you do not have one?,C,desk drawer,2,"Where,would,you,get,a,pen","[0, 1, 2, 3, 4, 5]",38,Latino/Hispanic,Male,Very well,PASSED,004607228ad49b69eac932c1005d6106,LO,Latino/Hispanic,>=38,test,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
2,QID13,2,"John is sitting in a toilet stall in a bathroom, outside he can hear cars going around in circles. What is the function of the place he is most likely at?",C,race track,3,"outside,he,can,hear,cars,going,around,in,circles","[10, 11, 12, 13, 14, 15, 16, 17, 18]",38,Latino/Hispanic,Male,Very well,PASSED,008b7ba0c039f6d0d542c6c90aae173c,LO,Latino/Hispanic,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,QID15,3,Where would you find a large dining room containing a fancy chandelier?,A,mansion,1,"a,fancy,chandelier,?","[9, 10, 11]",38,Latino/Hispanic,Male,Very well,PASSED,01abce8c4964371d85a5be2019f75827,LO,Latino/Hispanic,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
4,QID17,4,What happens to a dog before someone puts up posters of them?,A,get lost,1,"before,someone,puts,up,posters,of,them,?","[5, 6, 7, 8, 9, 10, 11]",38,Latino/Hispanic,Male,Very well,PASSED,01f01cc3ad152773ef42b30e926912bf,LO,Latino/Hispanic,>=38,test,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]"
5,QID19,5,Where are horses judged on appearance?,B,raised by humans,3,"on,appearance,?","[4, 5]",38,Latino/Hispanic,Male,Very well,PASSED,026cb9c07a583ec933f2c4c67ae73836,LO,Latino/Hispanic,>=38,test,"[0, 0, 0, 0, 1, 1]"
6,QID21,6,How might a automobile get off a freeway?,A,exit ramp,1,"get,off,a,freeway,?","[4, 5, 6, 7]",38,Latino/Hispanic,Male,Very well,PASSED,02f43014a135cbd39f23b044c99de96e,LO,Latino/Hispanic,>=38,test,"[0, 0, 0, 0, 1, 1, 1, 1]"
7,QID23,7,Where are required to carry books all day?,B,university,2,"books,all,day,?","[5, 6, 7]",38,Latino/Hispanic,Male,Very well,PASSED,03f06f77aaf80b5f5e296ffbd11e9d82,LO,Latino/Hispanic,>=38,test,"[0, 0, 0, 0, 0, 1, 1, 1]"
8,QID25,8,"Nature can be good and bad for the person who walks, what are some things?",B,get wet,3,"for,the,person,who,walks","[6, 7, 8, 9, 10]",38,Latino/Hispanic,Male,Very well,PASSED,047c2d8c65d297b39aa42821c1ca76a9,LO,Latino/Hispanic,>=38,test,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0]"
9,QID27,9,What can you use to store a book while traveling?,D,pocket,2,"while,traveling,?","[8, 9]",38,Latino/Hispanic,Male,Very well,PASSED,05490e6c191fbc3c2fe0033ed0bd8aa0,LO,Latino/Hispanic,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
10,QID29,10,Where would stones not be arranged in a path?,B,made from rocks,5,arranged,[5],44,Latino/Hispanic,Male,Very well,PASSED,056b33c7050c167b0d4348d40d169358,LO,Latino/Hispanic,>=38,test,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
11,QID31,11,What do you use to carry your briefcase?,E,hand,5,?,[],44,Latino/Hispanic,Male,Very well,PASSED,0611dfbf5114084723d75f59b4f67412,LO,Latino/Hispanic,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0]"
