,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age
0,QID519,0,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.",positive,positive,1,"Beautifully,crafted,,quality","1,2,12",45,White/Caucasian,Female,Very well,PASSED,301,WO,White/Causasian,>=38
1,QID521,1,"Bread, My Sweet has so many flaws it would be easy for critics to shred it.",negative,negative,2,"so,many,flaws,easy,for,critics,to,shred,it.","5,6,7,11,12,13,14,15,16",45,White/Caucasian,Female,Very well,PASSED,302,WO,White/Causasian,>=38
2,QID523,2,"Ultimately feels empty and unsatisfying, like swallowing a Communion wafer without the wine.",negative,negative,2,"feels,empty,and,unsatisfying,","2,3,4,5",45,White/Caucasian,Female,Very well,PASSED,304,WO,White/Causasian,>=38
3,QID525,3,Exudes the fizz of a Busby Berkeley musical and the visceral excitement of a sports extravaganza.,positive,positive,1,"fizz,visceral,excitement","3,11,12",45,White/Caucasian,Female,Very well,PASSED,305,WO,White/Causasian,>=38
4,QID527,4,The film rehashes several old themes and is capped with pointless extremes -- it's insanely violent and very graphic.,negative,negative,2,"capped,with,pointless,extremes,insanely,violent,very,graphic.","9,10,11,12,15,16,18,19",45,White/Caucasian,Female,Very well,PASSED,306,WO,White/Causasian,>=38
5,QID529,5,"Ryan Gosling is, in a word, brilliant as the conflicted Daniel.",positive,positive,1,brilliant,7.0,45,White/Caucasian,Female,Very well,PASSED,307,WO,White/Causasian,>=38
6,QID531,6,The film often achieves a mesmerizing poetry.,positive,positive,1,mesmerizing,6.0,45,White/Caucasian,Female,Very well,PASSED,311,WO,White/Causasian,>=38
7,QID533,7,A work of astonishing delicacy and force.,positive,positive,1,"astonishing,delicacy,and,force.","4,5,6,7",45,White/Caucasian,Female,Very well,PASSED,312,WO,White/Causasian,>=38
8,QID535,8,"The movie's plot is almost entirely witless and inane, carrying every gag two or three times beyond its limit to sustain a laugh.",negative,negative,2,"almost,entirely,witless,and,inane,","5,6,7,8,9",45,White/Caucasian,Female,Very well,PASSED,313,WO,White/Causasian,>=38
9,QID537,9,"The acting is stiff, the story lacks all trace of wit, the sets look like they were borrowed from Gilligan's Island -- and the CGI Scooby might well be the worst special-effects creation of the year.",negative,negative,2,"acting,is,stiff,,lacks,all,trace,of,wit,,worst,special-effects,creation,of,the,year.","2,3,4,7,8,9,10,11,31,32,33,34,35,36",45,White/Caucasian,Female,Very well,PASSED,317,WO,White/Causasian,>=38
10,QID539,10,"There's no palpable chemistry between Lopez and male lead Ralph Fiennes, plus the script by Working Girl scribe Kevin Wade is workmanlike in the extreme.",negative,positive,1,"workmanlike,extreme.","22,25",58,White/Caucasian,Female,Well,PASSED,319,WO,White/Causasian,>=38
11,QID541,11,"A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film.",positive,positive,1,"effectively,surefire,,beloved","8,11,12",58,White/Caucasian,Female,Well,PASSED,320,WO,White/Causasian,>=38
12,QID543,12,The film is so bad it doesn't improve upon the experience of staring at a blank screen.,negative,negative,2,"so,bad,doesn't,improve","4,5,7,8",58,White/Caucasian,Female,Well,PASSED,321,WO,White/Causasian,>=38
13,QID545,13,Another Best of the Year selection.,positive,positive,1,"Best,of,the,Year","2,3,4,5",58,White/Caucasian,Female,Well,PASSED,323,WO,White/Causasian,>=38
14,QID547,14,I love the robust middle of this picture.,positive,positive,1,"love,robust","2,4",58,White/Caucasian,Female,Well,PASSED,326,WO,White/Causasian,>=38
15,QID549,15,The soundtrack alone is worth the price of admission.,positive,positive,1,"worth,price,admission.","5,7,9",58,White/Caucasian,Female,Well,PASSED,328,WO,White/Causasian,>=38
16,QID551,16,"For the rest of us, sitting through Dahmer's two hours amounts to little more than punishment.",negative,negative,2,punishment.,16.0,58,White/Caucasian,Female,Well,PASSED,330,WO,White/Causasian,>=38
17,QID553,17,"Featuring a dangerously seductive performance from the great Daniel Auteuil, ``Sade'' covers the same period as Kaufmann's ``Quills'' with more unsettlingly realistic results.",positive,positive,1,"seductive,great,unsettlingly","4,8,21",58,White/Caucasian,Female,Well,PASSED,331,WO,White/Causasian,>=38
18,QID555,18,"Beautifully observed, miraculously unsentimental comedy-drama.",positive,positive,1,"Beautifully,miraculously","1,3",58,White/Caucasian,Female,Well,PASSED,334,WO,White/Causasian,>=38
19,QID557,19,"What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching.",positive,positive,1,"compelling,,wander,without,flinching.","8,17,25,26",58,White/Caucasian,Female,Well,PASSED,335,WO,White/Causasian,>=38
20,QID559,20,"This hastily mounted production exists only to capitalize on Hopkins' inclination to play Hannibal Lecter again, even though Harris has no immediate inclination to provide a fourth book.",negative,negative,2,"hastily,capitalize","2,8",66,White/Caucasian,Female,Very well,PASSED,336,WO,White/Causasian,>=38
21,QID559,20,"This hastily mounted production exists only to capitalize on Hopkins' inclination to play Hannibal Lecter again, even though Harris has no immediate inclination to provide a fourth book.",negative,negative,2,"hastily,mounted,production,capitalize","2,3,4,8",40,Other,Female,Very well,PASSED,336,WO,White/Causasian,>=38
22,QID561,21,Bullock's complete lack of focus and ability quickly derails the film.,negative,negative,2,"lack,derails","3,9",66,White/Caucasian,Female,Very well,PASSED,337,WO,White/Causasian,>=38
23,QID561,21,Bullock's complete lack of focus and ability quickly derails the film.,negative,negative,2,"complete,lack,of,focus,and,ability,derails","2,3,4,5,6,7,9",40,Other,Female,Very well,PASSED,337,WO,White/Causasian,>=38
24,QID563,22,"... a plotline that's as lumpy as two-day old porridge... the filmmakers' paws, sad to say, were all over this ``un-bear-able'' project!",negative,negative,2,"lumpy,as,two-day,old,porridge...,``un-bear-able'',project!","6,7,8,9,10,21,22",40,Other,Female,Very well,PASSED,338,WO,White/Causasian,>=38
25,QID563,22,"... a plotline that's as lumpy as two-day old porridge... the filmmakers' paws, sad to say, were all over this ``un-bear-able'' project!",negative,negative,2,"lumpy,two-day,old,porridge...,paws,,sad,``un-bear-able''","6,8,9,10,13,14,21",66,White/Caucasian,Female,Very well,PASSED,338,WO,White/Causasian,>=38
26,QID565,23,Crush could be the worst film a man has made about women since Valley of the Dolls.,negative,negative,2,"worst,film,a,man,has,made,about,women","5,6,7,8,9,10,11,12",40,Other,Female,Very well,PASSED,339,WO,White/Causasian,>=38
27,QID565,23,Crush could be the worst film a man has made about women since Valley of the Dolls.,negative,negative,2,worst,5,66,White/Caucasian,Female,Very well,PASSED,339,WO,White/Causasian,>=38
28,QID567,24,"Reassuring, retro uplifter.",positive,positive,1,"Reassuring,,uplifter.","1,3",40,Other,Female,Very well,PASSED,340,WO,White/Causasian,>=38
29,QID567,24,"Reassuring, retro uplifter.",positive,positive,1,"Reassuring,,uplifter.","1,3",66,White/Caucasian,Female,Very well,PASSED,340,WO,White/Causasian,>=38
30,QID569,25,Flaccid drama and exasperatingly slow journey.,negative,negative,2,"Flaccid,exasperatingly,slow","1,4,5",66,White/Caucasian,Female,Very well,PASSED,341,WO,White/Causasian,>=38
31,QID569,25,Flaccid drama and exasperatingly slow journey.,negative,negative,2,"exasperatingly,slow","4,5",40,Other,Female,Very well,PASSED,341,WO,White/Causasian,>=38
32,QID571,26,The Movie will reach far beyond its core demographic.,positive,positive,1,"far,beyond","5,6",66,White/Caucasian,Female,Very well,PASSED,342,WO,White/Causasian,>=38
33,QID571,26,The Movie will reach far beyond its core demographic.,positive,positive,1,"will,reach,far,beyond,its,core,demographic.","3,4,5,6,7,8,9",40,Other,Female,Very well,PASSED,342,WO,White/Causasian,>=38
34,QID573,27,How did it ever get made?,negative,negative,2,"How,ever","1,4",66,White/Caucasian,Female,Very well,PASSED,343,WO,White/Causasian,>=38
35,QID573,27,How did it ever get made?,negative,no sentiment,3,"How,did,it,ever,get,made?","1,2,3,4,5,6",40,Other,Female,Very well,PASSED,343,WO,White/Causasian,>=38
36,QID575,28,I like the new footage and still love the old stuff.,positive,positive,1,"like,love","2,8",66,White/Caucasian,Female,Very well,PASSED,344,WO,White/Causasian,>=38
37,QID575,28,I like the new footage and still love the old stuff.,positive,positive,1,"like,the,new,footage,love,the,old,stuff.","2,3,4,5,8,9,10,11",40,Other,Female,Very well,PASSED,344,WO,White/Causasian,>=38
38,QID577,29,Could The Country Bears really be as bad as its trailers?,negative,negative,2,"as,bad,as,its,trailers?","7,8,9,10,11",40,Other,Female,Very well,PASSED,346,WO,White/Causasian,>=38
39,QID577,29,Could The Country Bears really be as bad as its trailers?,negative,negative,2,"as,bad,as","7,8,9",66,White/Caucasian,Female,Very well,PASSED,346,WO,White/Causasian,>=38
40,QID579,30,"At times, the movie looks genuinely pretty.",positive,positive,1,"looks,genuinely,pretty.","5,6,7",38,White/Caucasian,Female,Very well,PASSED,347,WO,White/Causasian,>=38
41,QID581,31,"The stupidest, most insulting movie of 2002's first quarter.",negative,negative,2,"The,stupidest,,most,insulting","1,2,3,4",38,White/Caucasian,Female,Very well,PASSED,349,WO,White/Causasian,>=38
42,QID583,32,The film seems a dead weight.,negative,negative,2,"dead,weight.","5,6",38,White/Caucasian,Female,Very well,PASSED,350,WO,White/Causasian,>=38
