,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age
0,QID519,0,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.",positive,positive,1,"Beautifully,crafted,,engaging,attract,upscale,audiences,quality,nostalgic,","1,2,3,7,8,9,12,15",22,White/Caucasian,Female,Very well,PASSED,301,LY,Latino/Hispanic,<=35
1,QID519,0,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.",positive,positive,1,"Beautifully,engaging,attract,upscale,audiences,quality","1,3,7,8,9,12",25,White/Caucasian,Male,Very well,PASSED,301,LY,Latino/Hispanic,<=35
2,QID519,0,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.",positive,positive,1,"engaging,upscale,nostalgic,","3,8,15",31,White/Caucasian,Male,Very well,PASSED,301,LY,Latino/Hispanic,<=35
3,QID519,0,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.",positive,positive,1,"Beautifully,attract,quality","1,7,12",24,Latino/Hispanic,Male,Very well,PASSED,301,LY,Latino/Hispanic,<=35
4,QID519,0,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.",positive,positive,1,"Beautifully,engaging,quality,keep,them,guessing.","1,3,12,20,21,22",25,White/Caucasian,Male,Very well,PASSED,301,LY,Latino/Hispanic,<=35
5,QID519,0,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.",positive,positive,1,"Beautifully,engaging,quality","1,3,12",24,White/Caucasian,Male,Very well,PASSED,301,LY,Latino/Hispanic,<=35
6,QID521,1,"Bread, My Sweet has so many flaws it would be easy for critics to shred it.",negative,negative,2,"many,flaws,easy,for,critics,to,shred,it.","6,7,11,12,13,14,15,16",25,White/Caucasian,Male,Very well,PASSED,302,LY,Latino/Hispanic,<=35
7,QID521,1,"Bread, My Sweet has so many flaws it would be easy for critics to shred it.",negative,negative,2,"flaws,shred,it.","7,15,16",25,White/Caucasian,Male,Very well,PASSED,302,LY,Latino/Hispanic,<=35
8,QID521,1,"Bread, My Sweet has so many flaws it would be easy for critics to shred it.",negative,positive,1,"Sweet,flaws,shred","3,7,15",31,White/Caucasian,Male,Very well,PASSED,302,LY,Latino/Hispanic,<=35
9,QID521,1,"Bread, My Sweet has so many flaws it would be easy for critics to shred it.",negative,negative,2,"flaws,shred","7,15",24,Latino/Hispanic,Male,Very well,PASSED,302,LY,Latino/Hispanic,<=35
10,QID521,1,"Bread, My Sweet has so many flaws it would be easy for critics to shred it.",negative,negative,2,"flaws,easy,for,critics,shred","7,11,12,13,15",22,White/Caucasian,Female,Very well,PASSED,302,LY,Latino/Hispanic,<=35
11,QID521,1,"Bread, My Sweet has so many flaws it would be easy for critics to shred it.",negative,negative,2,"so,many,flaws,shred","5,6,7,15",24,White/Caucasian,Male,Very well,PASSED,302,LY,Latino/Hispanic,<=35
12,QID523,2,"Ultimately feels empty and unsatisfying, like swallowing a Communion wafer without the wine.",negative,negative,2,"empty,unsatisfying,","3,5",24,White/Caucasian,Male,Very well,PASSED,304,LY,Latino/Hispanic,<=35
13,QID523,2,"Ultimately feels empty and unsatisfying, like swallowing a Communion wafer without the wine.",negative,positive,1,"Ultimately,Communion","1,9",31,White/Caucasian,Male,Very well,PASSED,304,LY,Latino/Hispanic,<=35
14,QID523,2,"Ultimately feels empty and unsatisfying, like swallowing a Communion wafer without the wine.",negative,negative,2,"empty,unsatisfying,","3,5",25,White/Caucasian,Male,Very well,PASSED,304,LY,Latino/Hispanic,<=35
15,QID523,2,"Ultimately feels empty and unsatisfying, like swallowing a Communion wafer without the wine.",negative,negative,2,"feels,empty,unsatisfying,","2,3,5",25,White/Caucasian,Male,Very well,PASSED,304,LY,Latino/Hispanic,<=35
16,QID523,2,"Ultimately feels empty and unsatisfying, like swallowing a Communion wafer without the wine.",negative,negative,2,"empty,unsatisfying,,without","3,5,11",24,Latino/Hispanic,Male,Very well,PASSED,304,LY,Latino/Hispanic,<=35
17,QID523,2,"Ultimately feels empty and unsatisfying, like swallowing a Communion wafer without the wine.",negative,negative,2,"empty,unsatisfying,,swallowing,a,Communion,wafer,without,the,wine.","3,5,7,8,9,10,11,12,13",22,White/Caucasian,Female,Very well,PASSED,304,LY,Latino/Hispanic,<=35
