,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age,sst2_id,sst2_split,rationale_binary
0,QID859,170,Perhaps the most annoying thing about Who Is Cletis Tout? is that it's a crime movie made by someone who obviously knows nothing about crime.,negative,negative,2,"annoying,thing,someone,who,obviously,knows,nothing,about,crime.","[3, 4, 18, 19, 20, 21, 22, 23, 24]",57,Latino/Hispanic,Male,Very well,PASSED,544,LO,Latino/Hispanic,>=38,-1,,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]"
1,QID725,103,"For those who pride themselves on sophisticated, discerning taste, this might not seem like the proper cup of tea, however it is almost guaranteed that even the stuffiest cinema goers will laugh their 1*** off for an hour-and-a-half.",positive,positive,1,"guaranteed,will,laugh","[23, 30, 31]",40,Latino/Hispanic,Male,Very well,PASSED,453,LO,Latino/Hispanic,>=38,-1,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
2,QID779,130,Even horror fans will most likely not find what they're seeking with Trouble Every Day; the movie lacks both thrills and humor.,negative,negative,2,"not,find,what,they're,seeking,lacks,both,thrills,and,humor.","[6, 7, 8, 9, 10, 17, 18, 19, 20, 21]",42,Latino/Hispanic,Male,Very well,PASSED,486,LO,Latino/Hispanic,>=38,14,validation,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]"
3,QID573,27,How did it ever get made?,negative,no sentiment,3,"How,did,made?","[0, 1, 5]",46,Latino/Hispanic,Female,Very well,PASSED,343,LO,Latino/Hispanic,>=38,47,test,"[1, 1, 0, 0, 0, 1]"
4,QID577,29,Could The Country Bears really be as bad as its trailers?,negative,negative,2,"Could,really,be,as,bad,as","[0, 4, 5, 6, 7, 8]",46,Latino/Hispanic,Female,Very well,PASSED,346,LO,Latino/Hispanic,>=38,56,test,"[1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0]"
5,QID927,204,"I didn't laugh at the ongoing efforts of Cube, and his skinny buddy Mike Epps, to make like Laurel and Hardy'n the hood.",negative,negative,2,"didn't,laugh","[1, 2]",38,Latino/Hispanic,Male,Well,PASSED,604,LO,Latino/Hispanic,>=38,61,test,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,QID929,205,Ford deserves to be remembered at Oscar time for crafting this wonderful portrait of a conflicted soldier.,positive,positive,1,"remembered,wonderful,portrait","[4, 11, 12]",38,Latino/Hispanic,Male,Well,PASSED,606,LO,Latino/Hispanic,>=38,73,test,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
7,QID715,98,An inspiring and heart-affecting film about the desperate attempts of Vietnamese refugees living in U.S. relocation camps to keep their hopes alive in 1975.,positive,positive,1,"inspiring,heart-affecting,hopes,alive","[1, 3, 20, 21]",58,Latino/Hispanic,Male,Very well,PASSED,447,LO,Latino/Hispanic,>=38,91,test,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
8,QID1001,241,"Warm Water Under a Red Bridge is a quirky and poignant Japanese film that explores the fascinating connections between women, water, nature, and sexuality.",positive,no sentiment,3,"Japanese,film,explores,fascinating,connections","[11, 12, 14, 16, 17]",40,Latino/Hispanic,Male,Well,PASSED,669,LO,Latino/Hispanic,>=38,120,validation,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
9,QID619,50,"The movie is almost completely lacking in suspense, surprise and consistent emotional conviction.",negative,negative,2,"almost,completely,lacking","[3, 4, 5]",49,Latino/Hispanic,Female,Very well,PASSED,376,LO,Latino/Hispanic,>=38,146,train,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
10,QID875,178,"... a cute and sometimes side-splittingly funny blend of Legally Blonde and Drop Dead Gorgeous, starring Piper Perabo in what could be her breakthrough role.",positive,positive,1,"a,cute,and,sometimes,side-splittingly,funny,blend,starring,Piper,Perabo,in,what,could,be,her,breakthrough,role.","[1, 2, 3, 4, 5, 6, 7, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",57,Latino/Hispanic,Male,Very well,PASSED,554,LO,Latino/Hispanic,>=38,183,test,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
11,QID1043,262,Men in Black II achieves ultimate insignificance -- it's the sci-fi comedy spectacle as Whiffle-Ball epic.,negative,positive,1,"achieves,insignificance","[4, 6]",51,Latino/Hispanic,Male,Well,PASSED,698,LO,Latino/Hispanic,>=38,190,train,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,QID653,67,"Only an epic documentary could get it all down, and Spike Lee's Jim Brown: All American at long last gives its subject a movie worthy of his talents.",positive,positive,1,"epic,documentary,a,movie,worthy","[2, 3, 22, 23, 24]",38,Latino/Hispanic,Female,Very well,PASSED,403,LO,Latino/Hispanic,>=38,192,test,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]"
13,QID823,152,"Not only is Undercover Brother as funny, if not more so, than both Austin Powers films, but it's also one of the smarter, savvier spoofs to come along in some time.",positive,positive,1,"funny,,more,smarter,","[6, 9, 22]",38,Latino/Hispanic,Female,Very well,PASSED,515,LO,Latino/Hispanic,>=38,210,validation,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
14,QID589,35,"A lousy movie that's not merely unwatchable, but also unlistenable.",negative,negative,2,"lousy,unwatchable,,unlistenable.","[1, 6, 9]",40,Latino/Hispanic,Female,Very well,PASSED,353,LO,Latino/Hispanic,>=38,261,test,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 1]"
