,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age,originaldata_split,rationale_binary
0,QID519,0,The art exhibit has a lot to offer.,positive,positive,1,"a,lot,to,offer.","[4, 5, 6, 7]",42,White/Caucasian,Female,Very well,PASSED,r2-0019256,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 1, 1, 1, 1]"
1,QID521,1,I went to Campagnolo for the first time on my birthday. It was someone else's birthday so I didn't have fun.,negative,negative,2,"I,didn't,have,fun.","[17, 18, 19, 20]",42,White/Caucasian,Female,Very well,PASSED,r2-0019259,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
2,QID523,2,"The service is alright, nothing special. It is great.",positive,no sentiment,3,"alright,",[3],42,White/Caucasian,Female,Very well,PASSED,r2-0019260,WO,White/Causasian,>=38,test,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
3,QID525,3,"price was 11$ for xl pizza with toppings, crazy!",positive,positive,1,crazy!,[8],42,White/Caucasian,Female,Very well,PASSED,r2-0019262,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
4,QID527,4,The toilet in the common are was not flushing and filled with bugs.,negative,negative,2,"was,not,flushing,and,filled,with,bugs.","[6, 7, 8, 9, 10, 11, 12]",42,White/Caucasian,Female,Very well,PASSED,r2-0019263,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]"
5,QID529,5,"I was so glad that this food tasted reheated and boiled days before, just what one pays premium for.",negative,negative,2,"reheated,boiled,days,before,","[8, 10, 11, 12]",42,White/Caucasian,Female,Very well,PASSED,r2-0019264,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
6,QID531,6,My car wasn't working.,negative,no sentiment,3,"My,car,wasn't,working.","[0, 1, 2, 3]",42,White/Caucasian,Female,Very well,PASSED,r2-0019265,WO,White/Causasian,>=38,test,"[1, 1, 1, 1]"
7,QID533,7,This is one of the few places in Vegas I've taken my car to more than once. It really rocks.,positive,positive,1,"It,really,rocks.","[17, 18, 19]",42,White/Caucasian,Female,Very well,PASSED,r2-0019266,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
8,QID535,8,Basic cups of soda take time to bring out from the kitchen and place on the table?,negative,negative,2,"take,time,to,bring","[4, 5, 6, 7]",42,White/Caucasian,Female,Very well,PASSED,r2-0019267,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,QID537,9,"There have been so many terrible things in this year of 2020, but the store has not lost its touch.",positive,no sentiment,3,"terrible,things,not,lost,its,touch.","[5, 6, 16, 17, 18, 19]",42,White/Caucasian,Female,Very well,PASSED,r2-0019270,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
10,QID539,10,Some pieces could be replaced by other pieces moving forward as they were less interesting.,negative,positive,1,"Some,could,less,interesting.","[0, 2, 13, 14]",52,White/Caucasian,Male,Very well,PASSED,r2-0019271,WO,White/Causasian,>=38,test,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
11,QID541,11,It is exactly the kind of patrons that an institution in decay would like to encourage.,negative,positive,1,"exactly,to,encourage.","[2, 14, 15]",52,White/Caucasian,Male,Very well,PASSED,r2-0019272,WO,White/Causasian,>=38,test,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
12,QID543,12,"Still, unfortunately, we can't tolerate such a long meal.",negative,negative,2,"unfortunately,,can't,tolerate","[1, 3, 4]",52,White/Caucasian,Male,Very well,PASSED,r2-0019273,WO,White/Causasian,>=38,test,"[0, 1, 0, 1, 1, 0, 0, 0, 0]"
13,QID545,13,I also decided to go to honeycomb but it was not great,negative,negative,2,"but,not,great","[7, 10, 11]",52,White/Caucasian,Male,Very well,PASSED,r2-0019274,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1]"
14,QID547,14,"Being from LA, I'm a tad picky. I hate stuff.",negative,negative,2,hate,[8],52,White/Caucasian,Male,Very well,PASSED,r2-0019276,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
15,QID549,15,"The food was decent, so I'll start with that.",positive,positive,1,"decent,",[3],52,White/Caucasian,Male,Very well,PASSED,r2-0019277,WO,White/Causasian,>=38,test,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
16,QID551,16,The regular items were a bit pricey. WE like cheap.,negative,negative,2,"bit,pricey.","[5, 6]",52,White/Caucasian,Male,Very well,PASSED,r2-0019278,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
17,QID553,17,I recently ordered a few dozen of her Halloween sugar cookies and to say they were terrible and disgusting would be a huge lie.,positive,positive,1,"terrible,disgusting,huge,lie.","[16, 18, 22, 23]",52,White/Caucasian,Male,Very well,PASSED,r2-0019279,WO,White/Causasian,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1]"
