,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age
0,QID519,0,The art exhibit has a lot to offer.,positive,positive,1,"a,lot,to,offer.","5,6,7,8",19,White/Caucasian,Female,Very well,PASSED,r2-0019256,WY,White/Causasian,<=35
1,QID521,1,I went to Campagnolo for the first time on my birthday. It was someone else's birthday so I didn't have fun.,negative,negative,2,"I,didn't,have,fun.","18,19,20,21",19,White/Caucasian,Female,Very well,PASSED,r2-0019259,WY,White/Causasian,<=35
2,QID523,2,"The service is alright, nothing special. It is great.",positive,no sentiment,3,"nothing,special.","5,6",19,White/Caucasian,Female,Very well,PASSED,r2-0019260,WY,White/Causasian,<=35
3,QID525,3,"price was 11$ for xl pizza with toppings, crazy!",positive,positive,1,crazy!,9.0,19,White/Caucasian,Female,Very well,PASSED,r2-0019262,WY,White/Causasian,<=35
4,QID527,4,The toilet in the common are was not flushing and filled with bugs.,negative,negative,2,"not,flushing,filled,with,bugs.","8,9,11,12,13",19,White/Caucasian,Female,Very well,PASSED,r2-0019263,WY,White/Causasian,<=35
5,QID529,5,"I was so glad that this food tasted reheated and boiled days before, just what one pays premium for.",negative,negative,2,"tasted,reheated,boiled","8,9,11",19,White/Caucasian,Female,Very well,PASSED,r2-0019264,WY,White/Causasian,<=35
6,QID531,6,My car wasn't working.,negative,negative,2,"wasn't,working.","3,4",19,White/Caucasian,Female,Very well,PASSED,r2-0019265,WY,White/Causasian,<=35
7,QID533,7,This is one of the few places in Vegas I've taken my car to more than once. It really rocks.,positive,positive,1,"more,than,once.,really,rocks.","15,16,17,19,20",19,White/Caucasian,Female,Very well,PASSED,r2-0019266,WY,White/Causasian,<=35
8,QID535,8,Basic cups of soda take time to bring out from the kitchen and place on the table?,negative,negative,2,"time,to,bring,out","6,7,8,9",19,White/Caucasian,Female,Very well,PASSED,r2-0019267,WY,White/Causasian,<=35
9,QID537,9,"There have been so many terrible things in this year of 2020, but the store has not lost its touch.",positive,positive,1,"not,lost,its,touch.","17,18,19,20",19,White/Caucasian,Female,Very well,PASSED,r2-0019270,WY,White/Causasian,<=35
10,QID539,10,Some pieces could be replaced by other pieces moving forward as they were less interesting.,negative,negative,2,"replaced,as,they,were,less,interesting.","5,11,12,13,14,15",21,White/Caucasian,Male,Very well,PASSED,r2-0019271,WY,White/Causasian,<=35
11,QID541,11,It is exactly the kind of patrons that an institution in decay would like to encourage.,negative,positive,1,"exactly,the,kind,of,patrons,to,encourage.","3,4,5,6,7,15,16",21,White/Caucasian,Male,Very well,PASSED,r2-0019272,WY,White/Causasian,<=35
12,QID543,12,"Still, unfortunately, we can't tolerate such a long meal.",negative,negative,2,"can't,tolerate","4,5",21,White/Caucasian,Male,Very well,PASSED,r2-0019273,WY,White/Causasian,<=35
13,QID545,13,I also decided to go to honeycomb but it was not great,negative,negative,2,"it,was,not,great","9,10,11,12",21,White/Caucasian,Male,Very well,PASSED,r2-0019274,WY,White/Causasian,<=35
14,QID547,14,"Being from LA, I'm a tad picky. I hate stuff.",negative,negative,2,"I,hate,stuff.","8,9,10",21,White/Caucasian,Male,Very well,PASSED,r2-0019276,WY,White/Causasian,<=35
15,QID549,15,"The food was decent, so I'll start with that.",positive,positive,1,"The,food,was,decent,","1,2,3,4",21,White/Caucasian,Male,Very well,PASSED,r2-0019277,WY,White/Causasian,<=35
16,QID551,16,The regular items were a bit pricey. WE like cheap.,negative,negative,2,"a,bit,pricey.","5,6,7",21,White/Caucasian,Male,Very well,PASSED,r2-0019278,WY,White/Causasian,<=35
17,QID553,17,I recently ordered a few dozen of her Halloween sugar cookies and to say they were terrible and disgusting would be a huge lie.,positive,positive,1,"and,to,say,they,were,terrible,and,disgusting,would,be,a,huge,lie.","12,13,14,15,16,17,18,19,20,21,22,23,24",21,White/Caucasian,Male,Very well,PASSED,r2-0019279,WY,White/Causasian,<=35
18,QID555,18,Some people just want to watch a well made film in a comfortable auditorium and not deal with hassles. This was a great film.,positive,positive,1,"This,was,a,great,film.","20,21,22,23,24",21,White/Caucasian,Male,Very well,PASSED,r2-0019280,WY,White/Causasian,<=35
19,QID557,19,I would never not recommend this place.,positive,positive,1,"would,never,not,recommend","2,3,4,5",21,White/Caucasian,Male,Very well,PASSED,r2-0019281,WY,White/Causasian,<=35
20,QID559,20,"Add bacon and then drowned them in butter, which was lovely for a vegan.",negative,positive,1,"was,lovely,for,a,vegan.","10,11,12,13,14",22,White/Caucasian,Female,Very well,PASSED,r2-0019282,WY,White/Causasian,<=35
21,QID561,21,Put it in a history book. Sounds like a fun read.,positive,positive,1,"Sounds,like,a,fun,read.","7,8,9,10,11",22,White/Caucasian,Female,Very well,PASSED,r2-0019283,WY,White/Causasian,<=35
22,QID563,22,I've eaten here multiple times and the food to me is the reverse of wonderful.,negative,negative,2,"reverse,of,wonderful.","13,14,15",22,White/Caucasian,Female,Very well,PASSED,r2-0019285,WY,White/Causasian,<=35
23,QID565,23,"Personally, I was really disappointed.",negative,negative,2,"I,was,really,disappointed.","2,3,4,5",22,White/Caucasian,Female,Very well,PASSED,r2-0019286,WY,White/Causasian,<=35
24,QID567,24,The stylist stations are spread  far apart so no one else is eavesdropping or breathing down your neck,positive,positive,1,"so,no,one,else,is,eavesdropping,or,breathing,down,your,neck","8,9,10,11,12,13,14,15,16,17,18",22,White/Caucasian,Female,Very well,PASSED,r2-0019287,WY,White/Causasian,<=35
25,QID569,25,Coyoacan definitely gets credit for creating a romantic and interesting atmosphere. best at what they do,positive,positive,1,"best,at,what,they,do","12,13,14,15,16",22,White/Caucasian,Female,Very well,PASSED,r2-0019288,WY,White/Causasian,<=35
26,QID571,26,kids are allowed,positive,no sentiment,3,"kids,are,allowed","1,2,3",22,White/Caucasian,Female,Very well,PASSED,r2-0019290,WY,White/Causasian,<=35
27,QID573,27,inexpensive quick fix.,positive,no sentiment,3,"inexpensive,quick,fix.","1,2,3",22,White/Caucasian,Female,Very well,PASSED,r2-0019291,WY,White/Causasian,<=35
28,QID575,28,I felt the customer service,positive,no sentiment,3,"I,felt,the,customer,service","1,2,3,4,5",22,White/Caucasian,Female,Very well,PASSED,r2-0019292,WY,White/Causasian,<=35
29,QID577,29,Eager to come back? me thinks otherwise.,negative,negative,2,"me,thinks,otherwise.","5,6,7",22,White/Caucasian,Female,Very well,PASSED,r2-0019293,WY,White/Causasian,<=35
30,QID579,30,I've been disappointed at many restaurants before but this one never fails me.,positive,positive,1,"never,fails","11,12",30,White/Caucasian,Male,Very well,PASSED,r2-0019295,WY,White/Causasian,<=35
31,QID581,31,We liked the place. There was no notice or sign about the closure so I'm not quite sure what is going on.,positive,negative,2,"no,notice,closure","7,8,13",30,White/Caucasian,Male,Very well,PASSED,r2-0019296,WY,White/Causasian,<=35
32,QID583,32,The chairs were sunken in.,negative,negative,2,"sunken,in.","4,5",30,White/Caucasian,Male,Very well,PASSED,r2-0019297,WY,White/Causasian,<=35
33,QID585,33,The place was quaint but the waiter was rude and the food was terrible.,negative,negative,2,"rude,food,terrible.","9,12,14",30,White/Caucasian,Male,Very well,PASSED,r2-0019299,WY,White/Causasian,<=35
34,QID587,34,I'm really glad I got a chance to stop in and look forward my my next visit! It rocked.,positive,positive,1,"glad,a,chance,rocked.","3,6,7,19",30,White/Caucasian,Male,Very well,PASSED,r2-0019300,WY,White/Causasian,<=35
35,QID589,35,The agave syrup makes honey look bad,positive,negative,2,"look,bad","6,7",30,White/Caucasian,Male,Very well,PASSED,r2-0019301,WY,White/Causasian,<=35
36,QID591,36,"Service is wonderful, but Cindy and her daughter Taylor are too upbeat.",positive,negative,2,"too,upbeat.","11,12",30,White/Caucasian,Male,Very well,PASSED,r2-0019303,WY,White/Causasian,<=35
