,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age
0,QID9,0,"Eating is part of living , but your body does n't use it all and the next day you will be doing what ?",E,defecating,5,"and,the,next,day,you,will,be,doing,what,?","15,16,17,18,19,20,21,22,23,24",38,Latino/Hispanic,Male,Very well,PASSED,001b0f5a841fd81d13fbe67c7c7179d6,LO,Latino/Hispanic,>=38
1,QID9,0,"Eating is part of living , but your body does n't use it all and the next day you will be doing what ?",E,defecating,5,"Eating,body,does,n't,use,it,all","1,9,10,11,12,13,14",46,White/Caucasian,Male,Very well,PASSED,001b0f5a841fd81d13fbe67c7c7179d6,LO,Latino/Hispanic,>=38
2,QID11,1,Where would you get a pen if you do not have one ?,C,desk drawer,2,"Where,would,you,get,a,pen","1,2,3,4,5,6",38,Latino/Hispanic,Male,Very well,PASSED,004607228ad49b69eac932c1005d6106,LO,Latino/Hispanic,>=38
3,QID11,1,Where would you get a pen if you do not have one ?,C,desk drawer,2,"Where,get,pen","1,4,6",46,White/Caucasian,Male,Very well,PASSED,004607228ad49b69eac932c1005d6106,LO,Latino/Hispanic,>=38
4,QID13,2,"John is sitting in a toilet stall in a bathroom , outside he can hear cars going around in circles . What is the function of the place he is most likely at ?",C,race track,3,"cars,going,around,in,circles","16,17,18,19,20",46,White/Caucasian,Male,Very well,PASSED,008b7ba0c039f6d0d542c6c90aae173c,LO,Latino/Hispanic,>=38
5,QID13,2,"John is sitting in a toilet stall in a bathroom , outside he can hear cars going around in circles . What is the function of the place he is most likely at ?",C,race track,3,"outside,he,can,hear,cars,going,around,in,circles","12,13,14,15,16,17,18,19,20",38,Latino/Hispanic,Male,Very well,PASSED,008b7ba0c039f6d0d542c6c90aae173c,LO,Latino/Hispanic,>=38
6,QID15,3,Where would you find a large dining room containing a fancy chandelier ?,A,mansion,1,"large,dining,room,fancy,chandelier","6,7,8,11,12",46,White/Caucasian,Male,Very well,PASSED,01abce8c4964371d85a5be2019f75827,LO,Latino/Hispanic,>=38
7,QID15,3,Where would you find a large dining room containing a fancy chandelier ?,A,mansion,1,"a,fancy,chandelier,?","10,11,12,13",38,Latino/Hispanic,Male,Very well,PASSED,01abce8c4964371d85a5be2019f75827,LO,Latino/Hispanic,>=38
8,QID17,4,What happens to a dog before someone puts up posters of them ?,A,get lost,1,"dog,posters,of,them","5,10,11,12",46,White/Caucasian,Male,Very well,PASSED,01f01cc3ad152773ef42b30e926912bf,LO,Latino/Hispanic,>=38
9,QID17,4,What happens to a dog before someone puts up posters of them ?,A,get lost,1,"before,someone,puts,up,posters,of,them,?","6,7,8,9,10,11,12,13",38,Latino/Hispanic,Male,Very well,PASSED,01f01cc3ad152773ef42b30e926912bf,LO,Latino/Hispanic,>=38
